,win,loss,continue
return_side|BH|dir=1,0.02142857142857143,0.15714285714285714,0.8214285714285714
return_side|BH|dir=2,0.03870967741935484,0.14193548387096774,0.8193548387096774
return_side|BH|dir=3,0.015706806282722512,0.14136125654450263,0.8429319371727748
return_side|DROP_SHOT|dir=1,0.11764705882352941,0.35294117647058826,0.5294117647058824
return_side|DROP_SHOT|dir=2,0.2857142857142857,0.2857142857142857,0.42857142857142855
return_side|DROP_SHOT|dir=3,0.14285714285714285,0.0,0.8571428571428571
return_side|FH|dir=1,0.019230769230769232,0.13736263736263737,0.8434065934065934
return_side|FH|dir=2,0.05235602094240838,0.09947643979057591,0.8481675392670157
return_side|FH|dir=3,0.013574660633484163,0.17647058823529413,0.8099547511312217
return_side|LOB|dir=2,0.6,0.2,0.2
return_side|LOB|dir=3,0.6666666666666666,0.0,0.3333333333333333
return_side|SERVE|dir=4,0.008968609865470852,0.16143497757847533,0.8295964125560538
return_side|SERVE|dir=5,0.011695906432748537,0.12280701754385964,0.8654970760233918
return_side|SERVE|dir=6,0.009316770186335404,0.15838509316770186,0.8322981366459627
return_side|SLICE|dir=1,0.08571428571428572,0.11428571428571428,0.8
return_side|SLICE|dir=2,0.2962962962962963,0.14814814814814814,0.5555555555555556
return_side|SLICE|dir=3,0.16666666666666666,0.0,0.8333333333333334
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=3,0.0,0.25,0.75
return_side|VOLLEY|dir=1,0.26666666666666666,0.4,0.3333333333333333
return_side|VOLLEY|dir=2,0.2,0.3,0.5
return_side|VOLLEY|dir=3,0.3,0.4,0.3
serve_side|BH|dir=1,0.017167381974248927,0.15879828326180256,0.8240343347639485
serve_side|BH|dir=2,0.050200803212851405,0.12248995983935743,0.8273092369477911
serve_side|BH|dir=3,0.04533333333333334,0.14666666666666667,0.808
serve_side|BOS|dir=0,0.037545787545787544,0.0,0.9624542124542125
serve_side|DROP_SHOT|dir=1,0.3,0.2,0.5
serve_side|DROP_SHOT|dir=2,0.5,0.0,0.5
serve_side|DROP_SHOT|dir=3,0.7142857142857143,0.0,0.2857142857142857
serve_side|FH|dir=1,0.01749271137026239,0.13994169096209913,0.8425655976676385
serve_side|FH|dir=2,0.08571428571428572,0.1,0.8142857142857143
serve_side|FH|dir=3,0.0273972602739726,0.17123287671232876,0.8013698630136986
serve_side|LOB|dir=1,0.5714285714285714,0.14285714285714285,0.2857142857142857
serve_side|LOB|dir=2,0.36363636363636365,0.045454545454545456,0.5909090909090909
serve_side|LOB|dir=3,0.5,0.25,0.25
serve_side|OTHER|dir=0,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.011049723756906077,0.0,0.988950276243094
serve_side|SLICE|dir=1,0.09090909090909091,0.15584415584415584,0.7532467532467533
serve_side|SLICE|dir=2,0.24107142857142858,0.0625,0.6964285714285714
serve_side|SLICE|dir=3,0.16129032258064516,0.12903225806451613,0.7096774193548387
serve_side|SMASH|dir=3,0.0,1.0,0.0
serve_side|VOLLEY|dir=1,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|VOLLEY|dir=2,0.3333333333333333,0.0,0.6666666666666666
serve_side|VOLLEY|dir=3,0.5,0.25,0.25
