,return_side|BH|dir=1,return_side|BH|dir=2,return_side|BH|dir=3,return_side|DROP_SHOT|dir=1,return_side|DROP_SHOT|dir=2,return_side|DROP_SHOT|dir=3,return_side|FH|dir=1,return_side|FH|dir=2,return_side|FH|dir=3,return_side|LOB|dir=1,return_side|LOB|dir=2,return_side|LOB|dir=3,return_side|OTHER|dir=0,return_side|OTHER|dir=2,return_side|OTHER|dir=3,return_side|SERVE|dir=0,return_side|SERVE|dir=4,return_side|SERVE|dir=5,return_side|SERVE|dir=6,return_side|SLICE|dir=1,return_side|SLICE|dir=2,return_side|SLICE|dir=3,return_side|SMASH|dir=1,return_side|SMASH|dir=2,return_side|SMASH|dir=3,return_side|VOLLEY|dir=1,return_side|VOLLEY|dir=2,return_side|VOLLEY|dir=3,serve_side|BH|dir=1,serve_side|BH|dir=2,serve_side|BH|dir=3,serve_side|DROP_SHOT|dir=1,serve_side|DROP_SHOT|dir=2,serve_side|DROP_SHOT|dir=3,serve_side|FH|dir=1,serve_side|FH|dir=2,serve_side|FH|dir=3,serve_side|LOB|dir=1,serve_side|LOB|dir=2,serve_side|LOB|dir=3,serve_side|OTHER|dir=0,serve_side|OTHER|dir=1,serve_side|OTHER|dir=2,serve_side|OTHER|dir=3,serve_side|SERVE|dir=0,serve_side|SERVE|dir=4,serve_side|SERVE|dir=5,serve_side|SERVE|dir=6,serve_side|SLICE|dir=1,serve_side|SLICE|dir=2,serve_side|SLICE|dir=3,serve_side|SMASH|dir=1,serve_side|SMASH|dir=2,serve_side|SMASH|dir=3,serve_side|VOLLEY|dir=1,serve_side|VOLLEY|dir=2,serve_side|VOLLEY|dir=3
return_side|BH|dir=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004761904761904762,0.004761904761904762,0.0,0.0,0.4142857142857143,0.13333333333333333,0.24285714285714285,0.0,0.023809523809523808,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.09523809523809523,0.01904761904761905,0.0,0.0,0.0,0.009523809523809525,0.0,0.0
return_side|BH|dir=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04925053533190578,0.10706638115631692,0.18629550321199143,0.017130620985010708,0.0,0.006423982869379015,0.25910064239828695,0.08137044967880086,0.16274089935760172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014989293361884369,0.03640256959314775,0.06423982869379015,0.0,0.0,0.0,0.004282655246252677,0.004282655246252677,0.006423982869379015
return_side|BH|dir=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09598853868194843,0.15902578796561603,0.5071633237822349,0.008595988538681949,0.0,0.0028653295128939827,0.02148997134670487,0.0071633237822349575,0.0329512893982808,0.0014326647564469914,0.0014326647564469914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024355300859598854,0.03868194842406877,0.09025787965616046,0.0,0.0,0.0,0.0014326647564469914,0.0057306590257879654,0.0014326647564469914
return_side|DROP_SHOT|dir=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.17391304347826086,0.043478260869565216,0.21739130434782608,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.043478260869565216,0.13043478260869565
return_side|DROP_SHOT|dir=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
return_side|DROP_SHOT|dir=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.2777777777777778,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
return_side|FH|dir=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010144927536231883,0.0,0.008695652173913044,0.3144927536231884,0.29130434782608694,0.2072463768115942,0.007246376811594203,0.013043478260869565,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01884057971014493,0.0927536231884058,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0
return_side|FH|dir=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.15319148936170213,0.2148936170212766,0.014893617021276596,0.0,0.006382978723404255,0.1723404255319149,0.14680851063829786,0.20425531914893616,0.0,0.006382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002127659574468085,0.01276595744680851,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.002127659574468085
return_side|FH|dir=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08322981366459627,0.25093167701863356,0.45590062111801244,0.002484472049689441,0.0,0.0012422360248447205,0.002484472049689441,0.008695652173913044,0.009937888198757764,0.006211180124223602,0.02360248447204969,0.011180124223602485,0.0012422360248447205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02732919254658385,0.06459627329192547,0.04720496894409938,0.0,0.0,0.0,0.0,0.0012422360248447205,0.002484472049689441
return_side|LOB|dir=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
return_side|LOB|dir=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.0
return_side|LOB|dir=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0
return_side|OTHER|dir=0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
return_side|SERVE|dir=0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
return_side|SERVE|dir=4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04927007299270073,0.1843065693430657,0.25821167883211676,0.0,0.0,0.0,0.09124087591240876,0.19343065693430658,0.048357664233576646,0.0036496350364963502,0.010948905109489052,0.0036496350364963502,0.0,0.0,0.0036496350364963502,0.0018248175182481751,0.0,0.0,0.0,0.0,0.01551094890510949,0.11222627737226278,0.023722627737226276,0.0,0.0,0.0,0.0,0.0,0.0
return_side|SERVE|dir=5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.3463414634146341,0.23739837398373984,0.0,0.0,0.0,0.06016260162601626,0.15284552845528454,0.056910569105691054,0.0,0.0,0.0016260162601626016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.05365853658536585,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0
