,win,loss,continue
return_side|BH|dir=1,0.0,0.14285714285714285,0.8571428571428571
return_side|BH|dir=2,0.0,0.13636363636363635,0.8636363636363636
return_side|BH|dir=3,0.0,0.23076923076923078,0.7692307692307693
return_side|DROP_SHOT|dir=1,0.0,0.25,0.75
return_side|FH|dir=1,0.017857142857142856,0.30357142857142855,0.6785714285714286
return_side|FH|dir=2,0.05,0.1,0.85
return_side|FH|dir=3,0.02,0.18,0.8
return_side|SERVE|dir=4,0.0,0.1111111111111111,0.8888888888888888
return_side|SERVE|dir=5,0.0,0.20588235294117646,0.7941176470588235
return_side|SERVE|dir=6,0.0,0.25,0.75
return_side|SLICE|dir=1,0.16666666666666666,0.3333333333333333,0.5
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.1,0.05,0.85
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.6666666666666666,0.3333333333333333
serve_side|BH|dir=1,0.2857142857142857,0.09523809523809523,0.6190476190476191
serve_side|BH|dir=2,0.09375,0.140625,0.765625
serve_side|BH|dir=3,0.038461538461538464,0.25,0.7115384615384616
serve_side|BOS|dir=0,0.024271844660194174,0.0,0.9757281553398058
serve_side|DROP_SHOT|dir=1,0.0,1.0,0.0
serve_side|FH|dir=1,0.03125,0.21875,0.75
serve_side|FH|dir=2,0.0,0.17307692307692307,0.8269230769230769
serve_side|FH|dir=3,0.0625,0.16666666666666666,0.7708333333333334
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.2857142857142857,0.14285714285714285,0.5714285714285714
serve_side|SLICE|dir=2,0.2127659574468085,0.1276595744680851,0.6595744680851063
serve_side|SLICE|dir=3,0.0,0.2222222222222222,0.7777777777777778
