,win,loss,continue
return_side|BH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.2222222222222222,0.7777777777777778
return_side|FH|dir=2,0.16666666666666666,0.16666666666666666,0.6666666666666666
return_side|FH|dir=3,0.05,0.35,0.6
return_side|SERVE|dir=4,0.03333333333333333,0.3333333333333333,0.6333333333333333
return_side|SERVE|dir=5,0.0,0.0,1.0
return_side|SERVE|dir=6,0.0,0.2962962962962963,0.7037037037037037
return_side|SLICE|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|SLICE|dir=2,1.0,0.0,0.0
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.1,0.1,0.8
serve_side|BH|dir=2,0.05555555555555555,0.1111111111111111,0.8333333333333334
serve_side|BH|dir=3,0.02,0.16,0.82
serve_side|BOS|dir=0,0.04,0.0,0.96
serve_side|DROP_SHOT|dir=1,1.0,0.0,0.0
serve_side|FH|dir=1,0.038461538461538464,0.2692307692307692,0.6923076923076923
serve_side|FH|dir=2,0.0,0.16666666666666666,0.8333333333333334
serve_side|FH|dir=3,0.045454545454545456,0.13636363636363635,0.8181818181818182
serve_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.03571428571428571,0.0,0.9642857142857143
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.4,0.6
serve_side|SLICE|dir=2,0.2857142857142857,0.2857142857142857,0.42857142857142855
serve_side|SLICE|dir=3,0.0,0.25,0.75
