,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.2857142857142857,0.7142857142857143
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.0,0.42857142857142855,0.5714285714285714
return_side|SERVE|dir=4,0.0,0.30434782608695654,0.6956521739130435
return_side|SERVE|dir=5,0.0,0.3333333333333333,0.6666666666666666
return_side|SERVE|dir=6,0.0,1.0,0.0
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.25,0.75
serve_side|BH|dir=2,0.1875,0.125,0.6875
serve_side|BH|dir=3,0.0,0.05555555555555555,0.9444444444444444
serve_side|BOS|dir=0,0.0196078431372549,0.0,0.9803921568627451
serve_side|FH|dir=1,0.08333333333333333,0.16666666666666666,0.75
serve_side|FH|dir=2,0.0,0.18181818181818182,0.8181818181818182
serve_side|FH|dir=3,0.0,0.16666666666666666,0.8333333333333334
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
