,win,loss,continue
return_side|BH|dir=1,0.0,0.14285714285714285,0.8571428571428571
return_side|BH|dir=2,0.07317073170731707,0.0,0.926829268292683
return_side|BH|dir=3,0.019230769230769232,0.19230769230769232,0.7884615384615384
return_side|DROP_SHOT|dir=1,0.0,0.5,0.5
return_side|DROP_SHOT|dir=3,0.0,0.25,0.75
return_side|FH|dir=1,0.0,0.15,0.85
return_side|FH|dir=2,0.0,0.11764705882352941,0.8823529411764706
return_side|FH|dir=3,0.1,0.0,0.9
return_side|LOB|dir=2,0.0,1.0,0.0
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.17391304347826086,0.8260869565217391
return_side|SERVE|dir=5,0.0,0.06666666666666667,0.9333333333333333
return_side|SERVE|dir=6,0.0,0.09090909090909091,0.9090909090909091
return_side|SLICE|dir=1,1.0,0.0,0.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.1,0.2,0.7
return_side|VOLLEY|dir=2,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.05714285714285714,0.08571428571428572,0.8571428571428571
serve_side|BH|dir=3,0.0,0.22857142857142856,0.7714285714285715
serve_side|BOS|dir=0,0.0392156862745098,0.0,0.9607843137254902
serve_side|DROP_SHOT|dir=1,0.0,1.0,0.0
serve_side|DROP_SHOT|dir=2,0.0,1.0,0.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.3,0.7
serve_side|FH|dir=2,0.037037037037037035,0.1111111111111111,0.8518518518518519
serve_side|FH|dir=3,0.0,0.2,0.8
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.5,0.5,0.0
serve_side|SLICE|dir=2,0.25,0.0,0.75
serve_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
