,win,loss,continue
return_side|BH|dir=0,0.0,0.0,1.0
return_side|BH|dir=1,0.05660377358490566,0.3018867924528302,0.6415094339622641
return_side|BH|dir=2,0.07027027027027027,0.13513513513513514,0.7945945945945946
return_side|BH|dir=3,0.027247956403269755,0.14986376021798364,0.8228882833787466
return_side|DROP_SHOT|dir=1,0.08333333333333333,0.3333333333333333,0.5833333333333334
return_side|DROP_SHOT|dir=2,0.0,0.5,0.5
return_side|DROP_SHOT|dir=3,0.17391304347826086,0.34782608695652173,0.4782608695652174
return_side|FH|dir=1,0.03747072599531616,0.22716627634660422,0.7353629976580797
return_side|FH|dir=2,0.07851239669421488,0.2396694214876033,0.6818181818181818
return_side|FH|dir=3,0.030245746691871456,0.21361058601134217,0.7561436672967864
return_side|LOB|dir=1,0.3333333333333333,0.0,0.6666666666666666
return_side|LOB|dir=2,0.5,0.0,0.5
return_side|LOB|dir=3,0.0,0.5,0.5
return_side|OTHER|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.03576341127922971,0.2585969738651995,0.7056396148555708
return_side|SERVE|dir=5,0.021164021164021163,0.20899470899470898,0.7698412698412699
return_side|SERVE|dir=6,0.01567398119122257,0.2084639498432602,0.7758620689655172
return_side|SLICE|dir=1,0.2903225806451613,0.22580645161290322,0.4838709677419355
return_side|SLICE|dir=2,0.23529411764705882,0.1568627450980392,0.6078431372549019
return_side|SLICE|dir=3,0.1,0.21666666666666667,0.6833333333333333
return_side|SMASH|dir=1,0.0,0.7142857142857143,0.2857142857142857
return_side|SMASH|dir=2,0.1111111111111111,0.3333333333333333,0.5555555555555556
return_side|SMASH|dir=3,0.0,0.6666666666666666,0.3333333333333333
return_side|VOLLEY|dir=1,0.4583333333333333,0.3333333333333333,0.20833333333333334
return_side|VOLLEY|dir=2,0.4166666666666667,0.3333333333333333,0.25
return_side|VOLLEY|dir=3,0.34615384615384615,0.3076923076923077,0.34615384615384615
serve_side|BH|dir=1,0.11278195488721804,0.21804511278195488,0.6691729323308271
serve_side|BH|dir=2,0.11085450346420324,0.15704387990762125,0.7321016166281755
serve_side|BH|dir=3,0.08092485549132948,0.15606936416184972,0.7630057803468208
serve_side|BOS|dir=0,0.14278776104905294,0.0014570179698882952,0.8557552209810587
serve_side|DROP_SHOT|dir=1,0.125,0.25,0.625
serve_side|DROP_SHOT|dir=2,1.0,0.0,0.0
serve_side|DROP_SHOT|dir=3,0.2,0.4,0.4
serve_side|FH|dir=1,0.08088235294117647,0.21568627450980393,0.7034313725490197
serve_side|FH|dir=2,0.11300639658848614,0.14285714285714285,0.744136460554371
serve_side|FH|dir=3,0.06521739130434782,0.22010869565217392,0.7146739130434783
serve_side|LOB|dir=1,0.75,0.0,0.25
serve_side|LOB|dir=2,0.5172413793103449,0.034482758620689655,0.4482758620689655
serve_side|LOB|dir=3,0.5,0.0,0.5
serve_side|OTHER|dir=1,0.3333333333333333,0.0,0.6666666666666666
serve_side|OTHER|dir=2,0.23076923076923078,0.0,0.7692307692307693
serve_side|OTHER|dir=3,0.5,0.25,0.25
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.024793388429752067,0.0,0.9752066115702479
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.021917808219178082,0.0,0.9780821917808219
serve_side|SLICE|dir=1,0.296875,0.140625,0.5625
serve_side|SLICE|dir=2,0.2802197802197802,0.12087912087912088,0.5989010989010989
serve_side|SLICE|dir=3,0.23357664233576642,0.17518248175182483,0.5912408759124088
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|SMASH|dir=2,0.3333333333333333,0.6666666666666666,0.0
serve_side|SMASH|dir=3,0.2,0.0,0.8
serve_side|VOLLEY|dir=1,0.5,0.0,0.5
serve_side|VOLLEY|dir=2,0.42857142857142855,0.14285714285714285,0.42857142857142855
serve_side|VOLLEY|dir=3,0.0,0.4,0.6
