,win,loss,continue
return_side|BH|dir=1,0.04,0.24,0.72
return_side|BH|dir=2,0.08571428571428572,0.11428571428571428,0.8
return_side|BH|dir=3,0.03125,0.0625,0.90625
return_side|DROP_SHOT|dir=3,0.0,0.25,0.75
return_side|FH|dir=1,0.022222222222222223,0.13333333333333333,0.8444444444444444
return_side|FH|dir=2,0.043478260869565216,0.043478260869565216,0.9130434782608695
return_side|FH|dir=3,0.01282051282051282,0.14102564102564102,0.8461538461538461
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.03296703296703297,0.24175824175824176,0.7252747252747253
return_side|SERVE|dir=5,0.020202020202020204,0.06060606060606061,0.9191919191919192
return_side|SERVE|dir=6,0.0,0.1774193548387097,0.8225806451612904
return_side|SLICE|dir=1,0.2,0.2,0.6
return_side|SLICE|dir=2,0.08695652173913043,0.043478260869565216,0.8695652173913043
return_side|SLICE|dir=3,0.09375,0.1875,0.71875
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.5,0.5
return_side|VOLLEY|dir=2,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|VOLLEY|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BH|dir=1,0.08571428571428572,0.17142857142857143,0.7428571428571429
serve_side|BH|dir=2,0.02830188679245283,0.05660377358490566,0.9150943396226415
serve_side|BH|dir=3,0.03496503496503497,0.13286713286713286,0.8321678321678322
serve_side|BOS|dir=0,0.035830618892508145,0.0,0.9641693811074918
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.3333333333333333,0.16666666666666666,0.5
serve_side|FH|dir=1,0.031914893617021274,0.07446808510638298,0.8936170212765957
serve_side|FH|dir=2,0.0673076923076923,0.08653846153846154,0.8461538461538461
serve_side|FH|dir=3,0.09210526315789473,0.15789473684210525,0.75
serve_side|LOB|dir=2,0.75,0.0,0.25
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.037037037037037035,0.18518518518518517,0.7777777777777778
serve_side|SLICE|dir=2,0.0392156862745098,0.058823529411764705,0.9019607843137255
serve_side|SLICE|dir=3,0.017543859649122806,0.05263157894736842,0.9298245614035088
serve_side|VOLLEY|dir=1,0.5,0.0,0.5
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
