,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=3,0.0,0.13636363636363635,0.8636363636363636
return_side|DROP_SHOT|dir=1,0.0,0.5,0.5
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.02564102564102564,0.10256410256410256,0.8717948717948718
return_side|FH|dir=2,0.09090909090909091,0.09090909090909091,0.8181818181818182
return_side|FH|dir=3,0.013888888888888888,0.1111111111111111,0.875
return_side|OTHER|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.023809523809523808,0.047619047619047616,0.9285714285714286
return_side|SERVE|dir=5,0.0,0.1111111111111111,0.8888888888888888
return_side|SERVE|dir=6,0.0,0.16666666666666666,0.8333333333333334
return_side|SLICE|dir=1,1.0,0.0,0.0
return_side|SLICE|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=1,0.0,0.5,0.5
return_side|VOLLEY|dir=2,1.0,0.0,0.0
return_side|VOLLEY|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.03571428571428571,0.10714285714285714,0.8571428571428571
serve_side|BH|dir=3,0.0,0.21212121212121213,0.7878787878787878
serve_side|BOS|dir=0,0.011363636363636364,0.0,0.9886363636363636
serve_side|DROP_SHOT|dir=3,0.0,0.6666666666666666,0.3333333333333333
serve_side|FH|dir=1,0.0,0.2,0.8
serve_side|FH|dir=2,0.03333333333333333,0.03333333333333333,0.9333333333333333
serve_side|FH|dir=3,0.014492753623188406,0.10144927536231885,0.8840579710144928
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,0.1111111111111111,0.8888888888888888
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
