,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.1,0.1,0.8
return_side|BH|dir=3,0.0,0.06666666666666667,0.9333333333333333
return_side|DROP_SHOT|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|FH|dir=1,0.0,0.5,0.5
return_side|FH|dir=2,0.0,0.2,0.8
return_side|FH|dir=3,0.14285714285714285,0.2857142857142857,0.5714285714285714
return_side|SERVE|dir=4,0.06060606060606061,0.24242424242424243,0.696969696969697
return_side|SERVE|dir=5,0.08333333333333333,0.3333333333333333,0.5833333333333334
return_side|SERVE|dir=6,0.0,0.4,0.6
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=3,0.3333333333333333,0.0,0.6666666666666666
return_side|VOLLEY|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=2,0.0,0.5,0.5
return_side|VOLLEY|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BH|dir=1,0.07142857142857142,0.35714285714285715,0.5714285714285714
serve_side|BH|dir=2,0.1,0.13333333333333333,0.7666666666666667
serve_side|BH|dir=3,0.041666666666666664,0.041666666666666664,0.9166666666666666
serve_side|BOS|dir=0,0.0297029702970297,0.0,0.9702970297029703
serve_side|DROP_SHOT|dir=1,0.5,0.5,0.0
serve_side|FH|dir=1,0.05263157894736842,0.21052631578947367,0.7368421052631579
serve_side|FH|dir=2,0.17857142857142858,0.21428571428571427,0.6071428571428571
serve_side|FH|dir=3,0.125,0.0,0.875
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|LOB|dir=3,0.5,0.0,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.3333333333333333,0.6666666666666666
serve_side|SLICE|dir=3,0.0,1.0,0.0
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.0,0.0,1.0
