,win,loss,continue
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,1.0,0.0
return_side|DROP_SHOT|dir=1,1.0,0.0,0.0
return_side|FH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|FH|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.4375,0.5625
return_side|SERVE|dir=5,0.0,0.0,1.0
return_side|SERVE|dir=6,0.0,0.5,0.5
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,1.0,0.0,0.0
serve_side|BH|dir=1,0.0,0.2,0.8
serve_side|BH|dir=2,0.0625,0.25,0.6875
serve_side|BH|dir=3,0.16666666666666666,0.4166666666666667,0.4166666666666667
serve_side|BOS|dir=0,0.05333333333333334,0.0,0.9466666666666667
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|FH|dir=2,0.1111111111111111,0.0,0.8888888888888888
serve_side|FH|dir=3,0.07692307692307693,0.3076923076923077,0.6153846153846154
serve_side|LOB|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
