,win,loss,continue
return_side|BH|dir=1,0.0,0.2857142857142857,0.7142857142857143
return_side|BH|dir=2,0.0,0.1,0.9
return_side|BH|dir=3,0.0,0.1111111111111111,0.8888888888888888
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.13333333333333333,0.8666666666666667
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.038461538461538464,0.2692307692307692,0.6923076923076923
return_side|SERVE|dir=4,0.08,0.24,0.68
return_side|SERVE|dir=5,0.0,0.0625,0.9375
return_side|SERVE|dir=6,0.0,0.125,0.875
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.3333333333333333,0.0,0.6666666666666666
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=1,1.0,0.0,0.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|BH|dir=2,0.041666666666666664,0.08333333333333333,0.875
serve_side|BH|dir=3,0.09090909090909091,0.09090909090909091,0.8181818181818182
serve_side|BOS|dir=0,0.11764705882352941,0.0,0.8823529411764706
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.08333333333333333,0.25,0.6666666666666666
serve_side|FH|dir=2,0.0,0.25,0.75
serve_side|FH|dir=3,0.06666666666666667,0.06666666666666667,0.8666666666666667
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.16666666666666666,0.0,0.8333333333333334
serve_side|SLICE|dir=3,0.125,0.0,0.875
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=2,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
