,win,loss,continue
return_side|BH|dir=1,0.0,0.14285714285714285,0.8571428571428571
return_side|BH|dir=2,0.06666666666666667,0.2,0.7333333333333333
return_side|BH|dir=3,0.0,0.15625,0.84375
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.19047619047619047,0.8095238095238095
return_side|FH|dir=2,0.058823529411764705,0.11764705882352941,0.8235294117647058
return_side|FH|dir=3,0.1,0.1,0.8
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.018867924528301886,0.20754716981132076,0.7735849056603774
return_side|SERVE|dir=5,0.0,0.25,0.75
return_side|SERVE|dir=6,0.045454545454545456,0.22727272727272727,0.7272727272727273
return_side|SLICE|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|SLICE|dir=2,0.2,0.0,0.8
return_side|SLICE|dir=3,0.1111111111111111,0.1111111111111111,0.7777777777777778
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.1,0.2,0.7
serve_side|BH|dir=2,0.1282051282051282,0.1282051282051282,0.7435897435897436
serve_side|BH|dir=3,0.10344827586206896,0.2413793103448276,0.6551724137931034
serve_side|BOS|dir=0,0.08823529411764706,0.0,0.9117647058823529
serve_side|FH|dir=1,0.037037037037037035,0.2222222222222222,0.7407407407407407
serve_side|FH|dir=2,0.0625,0.25,0.6875
serve_side|FH|dir=3,0.14285714285714285,0.07142857142857142,0.7857142857142857
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.047619047619047616,0.0,0.9523809523809523
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.5,0.0,0.5
serve_side|SLICE|dir=2,0.16666666666666666,0.3333333333333333,0.5
serve_side|SLICE|dir=3,0.10526315789473684,0.15789473684210525,0.7368421052631579
