,win,loss,continue
return_side|BH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=2,0.0,1.0,0.0
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.5,0.5
return_side|FH|dir=2,0.0,0.2,0.8
return_side|FH|dir=3,0.0,0.09090909090909091,0.9090909090909091
return_side|SERVE|dir=4,0.0625,0.375,0.5625
return_side|SERVE|dir=5,0.0,0.4,0.6
return_side|SERVE|dir=6,0.0,0.23529411764705882,0.7647058823529411
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.045454545454545456,0.09090909090909091,0.8636363636363636
serve_side|BH|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BOS|dir=0,0.018867924528301886,0.0,0.9811320754716981
serve_side|FH|dir=1,0.0,0.0,1.0
serve_side|FH|dir=2,0.05,0.1,0.85
serve_side|FH|dir=3,0.0,0.29411764705882354,0.7058823529411765
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.5,0.5
serve_side|SLICE|dir=2,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|SLICE|dir=3,0.0,0.0,1.0
