,win,loss,continue
return_side|BH|dir=1,0.25,0.25,0.5
return_side|BH|dir=2,0.0,0.16666666666666666,0.8333333333333334
return_side|BH|dir=3,0.2222222222222222,0.2222222222222222,0.5555555555555556
return_side|FH|dir=1,0.0,0.25,0.75
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.2,0.4,0.4
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.0,0.2727272727272727,0.7272727272727273
return_side|SERVE|dir=5,0.0,0.25,0.75
return_side|SERVE|dir=6,0.0,0.35294117647058826,0.6470588235294118
return_side|SLICE|dir=2,0.0,1.0,0.0
return_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.1111111111111111,0.3333333333333333,0.5555555555555556
serve_side|BH|dir=2,0.0,0.15,0.85
serve_side|BH|dir=3,0.0,0.05263157894736842,0.9473684210526315
serve_side|BOS|dir=0,0.041666666666666664,0.0,0.9583333333333334
serve_side|FH|dir=1,0.07142857142857142,0.2857142857142857,0.6428571428571429
serve_side|FH|dir=2,0.125,0.125,0.75
serve_side|FH|dir=3,0.0,0.0,1.0
serve_side|LOB|dir=1,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.5,0.0,0.5
serve_side|SLICE|dir=2,0.5,0.0,0.5
serve_side|SLICE|dir=3,0.2,0.2,0.6
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
