,win,loss,continue
return_side|BH|dir=0,0.0,0.047619047619047616,0.9523809523809523
return_side|BH|dir=1,0.018907563025210083,0.19327731092436976,0.7878151260504201
return_side|BH|dir=2,0.044543429844097995,0.12138084632516703,0.8340757238307349
return_side|BH|dir=3,0.02546419098143236,0.11989389920424404,0.8546419098143236
return_side|DROP_SHOT|dir=1,0.21311475409836064,0.14754098360655737,0.639344262295082
return_side|DROP_SHOT|dir=2,0.2608695652173913,0.043478260869565216,0.6956521739130435
return_side|DROP_SHOT|dir=3,0.1927710843373494,0.18072289156626506,0.6265060240963856
return_side|FH|dir=0,0.0,0.3333333333333333,0.6666666666666666
return_side|FH|dir=1,0.027312228429546864,0.18125387957790193,0.7914338919925512
return_side|FH|dir=2,0.047021943573667714,0.11598746081504702,0.8369905956112853
return_side|FH|dir=3,0.02024482109227872,0.1440677966101695,0.8356873822975518
return_side|LOB|dir=1,0.42857142857142855,0.14285714285714285,0.42857142857142855
return_side|LOB|dir=2,0.5405405405405406,0.05405405405405406,0.40540540540540543
return_side|LOB|dir=3,0.625,0.125,0.25
return_side|OTHER|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=0,0.0,0.6666666666666666,0.3333333333333333
return_side|SERVE|dir=4,0.012305465074194716,0.22765110387260223,0.760043431053203
return_side|SERVE|dir=5,0.008635578583765112,0.14766839378238342,0.8436960276338514
return_side|SERVE|dir=6,0.0030102347983142685,0.23239012642986154,0.7645996387718242
return_side|SLICE|dir=1,0.2,0.13333333333333333,0.6666666666666666
return_side|SLICE|dir=2,0.22695035460992907,0.1347517730496454,0.6382978723404256
return_side|SLICE|dir=3,0.11666666666666667,0.14166666666666666,0.7416666666666667
return_side|SMASH|dir=1,0.05,0.2,0.75
return_side|SMASH|dir=2,0.14285714285714285,0.23809523809523808,0.6190476190476191
return_side|SMASH|dir=3,0.041666666666666664,0.375,0.5833333333333334
return_side|VOLLEY|dir=0,0.6666666666666666,0.0,0.3333333333333333
return_side|VOLLEY|dir=1,0.25,0.3333333333333333,0.4166666666666667
return_side|VOLLEY|dir=2,0.21212121212121213,0.24242424242424243,0.5454545454545454
return_side|VOLLEY|dir=3,0.24731182795698925,0.25806451612903225,0.4946236559139785
serve_side|BH|dir=0,0.03333333333333333,0.06666666666666667,0.9
serve_side|BH|dir=1,0.07153965785381027,0.15552099533437014,0.7729393468118196
serve_side|BH|dir=2,0.0840213695968917,0.131617289946576,0.7843613404565323
serve_side|BH|dir=3,0.05874499332443257,0.14241210502892745,0.79884290164664
serve_side|BOS|dir=0,0.08281637717121589,0.0,0.9171836228287841
serve_side|DROP_SHOT|dir=0,0.0,0.5,0.5
serve_side|DROP_SHOT|dir=1,0.2571428571428571,0.22857142857142856,0.5142857142857142
serve_side|DROP_SHOT|dir=2,0.5,0.0,0.5
serve_side|DROP_SHOT|dir=3,0.15,0.0,0.85
serve_side|FH|dir=0,0.03333333333333333,0.13333333333333333,0.8333333333333334
serve_side|FH|dir=1,0.04581818181818182,0.19854545454545455,0.7556363636363637
serve_side|FH|dir=2,0.07878411910669975,0.1433002481389578,0.7779156327543424
serve_side|FH|dir=3,0.052105638829407566,0.14061384725196288,0.8072805139186295
serve_side|LOB|dir=0,1.0,0.0,0.0
serve_side|LOB|dir=1,0.6666666666666666,0.0,0.3333333333333333
serve_side|LOB|dir=2,0.5583333333333333,0.058333333333333334,0.38333333333333336
serve_side|LOB|dir=3,0.42857142857142855,0.14285714285714285,0.42857142857142855
serve_side|OTHER|dir=2,0.3333333333333333,0.0,0.6666666666666666
serve_side|OTHER|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.008547008547008548,0.0,0.9914529914529915
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.006956521739130435,0.0008695652173913044,0.9921739130434782
serve_side|SLICE|dir=0,0.6666666666666666,0.0,0.3333333333333333
serve_side|SLICE|dir=1,0.25477707006369427,0.14012738853503184,0.6050955414012739
serve_side|SLICE|dir=2,0.26095238095238094,0.14476190476190476,0.5942857142857143
serve_side|SLICE|dir=3,0.18266978922716628,0.1522248243559719,0.6651053864168618
serve_side|SMASH|dir=1,0.0,0.7,0.3
serve_side|SMASH|dir=2,0.09090909090909091,0.0,0.9090909090909091
serve_side|SMASH|dir=3,0.2,0.2,0.6
serve_side|VOLLEY|dir=1,0.2619047619047619,0.3333333333333333,0.40476190476190477
serve_side|VOLLEY|dir=2,0.43333333333333335,0.23333333333333334,0.3333333333333333
serve_side|VOLLEY|dir=3,0.3448275862068966,0.20689655172413793,0.4482758620689655
