,win,loss,continue
return_side|BH|dir=1,0.0,0.125,0.875
return_side|BH|dir=2,0.024390243902439025,0.04878048780487805,0.926829268292683
return_side|BH|dir=3,0.0,0.09375,0.90625
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|FH|dir=1,0.04225352112676056,0.15492957746478872,0.8028169014084507
return_side|FH|dir=2,0.02531645569620253,0.189873417721519,0.7848101265822784
return_side|FH|dir=3,0.03278688524590164,0.13114754098360656,0.8360655737704918
return_side|LOB|dir=3,0.0,1.0,0.0
return_side|OTHER|dir=1,0.0,0.0,1.0
return_side|OTHER|dir=2,0.0,0.0,1.0
return_side|OTHER|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.03508771929824561,0.3333333333333333,0.631578947368421
return_side|SERVE|dir=5,0.0,0.11428571428571428,0.8857142857142857
return_side|SERVE|dir=6,0.0,0.2,0.8
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.125,0.875
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.5,0.0,0.5
return_side|VOLLEY|dir=3,1.0,0.0,0.0
serve_side|BH|dir=1,0.0,0.2,0.8
serve_side|BH|dir=2,0.04225352112676056,0.11267605633802817,0.8450704225352113
serve_side|BH|dir=3,0.020833333333333332,0.07291666666666667,0.90625
serve_side|BOS|dir=0,0.040229885057471264,0.0,0.9597701149425287
serve_side|DROP_SHOT|dir=3,0.0,0.5,0.5
serve_side|FH|dir=1,0.013888888888888888,0.20833333333333334,0.7777777777777778
serve_side|FH|dir=2,0.043010752688172046,0.11827956989247312,0.8387096774193549
serve_side|FH|dir=3,0.0,0.16279069767441862,0.8372093023255814
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.4,0.4,0.2
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|OTHER|dir=1,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.1,0.1,0.8
serve_side|OTHER|dir=3,0.1111111111111111,0.0,0.8888888888888888
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.25,0.5,0.25
serve_side|SLICE|dir=2,0.29411764705882354,0.23529411764705882,0.47058823529411764
serve_side|SLICE|dir=3,0.125,0.125,0.75
serve_side|VOLLEY|dir=1,1.0,0.0,0.0
