,win,loss,continue
return_side|BH|dir=0,0.1111111111111111,0.1111111111111111,0.7777777777777778
return_side|BH|dir=1,0.0,1.0,0.0
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.2222222222222222,0.7777777777777778
return_side|DROP_SHOT|dir=1,0.0,0.5,0.5
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=0,0.15,0.25,0.6
return_side|FH|dir=1,0.044444444444444446,0.15555555555555556,0.8
return_side|FH|dir=2,0.08695652173913043,0.21739130434782608,0.6956521739130435
return_side|FH|dir=3,0.018518518518518517,0.18518518518518517,0.7962962962962963
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=0,0.0,0.0,1.0
return_side|SERVE|dir=4,0.058823529411764705,0.24705882352941178,0.6941176470588235
return_side|SERVE|dir=5,0.0,0.08333333333333333,0.9166666666666666
return_side|SERVE|dir=6,0.015625,0.359375,0.625
return_side|SLICE|dir=0,0.0,1.0,0.0
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.03125,0.09375,0.875
return_side|SMASH|dir=3,0.0,0.5,0.5
return_side|VOLLEY|dir=0,0.18181818181818182,0.45454545454545453,0.36363636363636365
return_side|VOLLEY|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|BH|dir=0,0.225,0.25,0.525
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.19444444444444445,0.16666666666666666,0.6388888888888888
serve_side|BH|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|BOS|dir=0,0.0779816513761468,0.0,0.9220183486238532
serve_side|DROP_SHOT|dir=0,1.0,0.0,0.0
serve_side|DROP_SHOT|dir=1,1.0,0.0,0.0
serve_side|FH|dir=0,0.10714285714285714,0.26785714285714285,0.625
serve_side|FH|dir=1,0.06451612903225806,0.3225806451612903,0.6129032258064516
serve_side|FH|dir=2,0.11627906976744186,0.023255813953488372,0.8604651162790697
serve_side|FH|dir=3,0.038461538461538464,0.15384615384615385,0.8076923076923077
serve_side|LOB|dir=2,0.5,0.0,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=0,0.0,0.5,0.5
serve_side|SLICE|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|SLICE|dir=2,0.13636363636363635,0.06818181818181818,0.7954545454545454
serve_side|SLICE|dir=3,0.06451612903225806,0.3225806451612903,0.6129032258064516
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
