,win,loss,continue
return_side|BH|dir=1,0.0,0.2,0.8
return_side|BH|dir=2,0.024390243902439025,0.0975609756097561,0.8780487804878049
return_side|BH|dir=3,0.0,0.16,0.84
return_side|DROP_SHOT|dir=1,0.2,0.2,0.6
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.11290322580645161,0.3548387096774194,0.532258064516129
return_side|FH|dir=2,0.03636363636363636,0.12727272727272726,0.8363636363636363
return_side|FH|dir=3,0.046153846153846156,0.23076923076923078,0.7230769230769231
return_side|LOB|dir=2,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=0,0.0,0.5,0.5
return_side|SERVE|dir=4,0.016260162601626018,0.2845528455284553,0.6991869918699187
return_side|SERVE|dir=5,0.018867924528301886,0.16981132075471697,0.8113207547169812
return_side|SERVE|dir=6,0.02040816326530612,0.2653061224489796,0.7142857142857143
return_side|SLICE|dir=1,0.2,0.0,0.8
return_side|SLICE|dir=2,0.25,0.0,0.75
return_side|SLICE|dir=3,0.041666666666666664,0.16666666666666666,0.7916666666666666
return_side|SMASH|dir=3,0.0,0.5,0.5
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|BH|dir=1,0.08333333333333333,0.4166666666666667,0.5
serve_side|BH|dir=2,0.14285714285714285,0.23809523809523808,0.6190476190476191
serve_side|BH|dir=3,0.13793103448275862,0.13793103448275862,0.7241379310344828
serve_side|BOS|dir=0,0.08359133126934984,0.0,0.9164086687306502
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.09090909090909091,0.2727272727272727,0.6363636363636364
serve_side|FH|dir=2,0.1111111111111111,0.2916666666666667,0.5972222222222222
serve_side|FH|dir=3,0.024390243902439025,0.17073170731707318,0.8048780487804879
serve_side|LOB|dir=1,0.5,0.0,0.5
serve_side|LOB|dir=2,0.0,0.75,0.25
serve_side|LOB|dir=3,0.75,0.0,0.25
serve_side|SERVE|dir=0,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.022727272727272728,0.0,0.9772727272727273
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.017543859649122806,0.0,0.9824561403508771
serve_side|SLICE|dir=1,0.2857142857142857,0.0,0.7142857142857143
serve_side|SLICE|dir=2,0.35135135135135137,0.13513513513513514,0.5135135135135135
serve_side|SLICE|dir=3,0.20833333333333334,0.20833333333333334,0.5833333333333334
serve_side|SMASH|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.0,0.0,1.0
