,win,loss,continue
return_side|BH|dir=1,0.07058823529411765,0.18823529411764706,0.7411764705882353
return_side|BH|dir=2,0.09644670050761421,0.1116751269035533,0.7918781725888325
return_side|BH|dir=3,0.06896551724137931,0.13793103448275862,0.7931034482758621
return_side|DROP_SHOT|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.125,0.25,0.625
return_side|FH|dir=1,0.0449438202247191,0.20224719101123595,0.7528089887640449
return_side|FH|dir=2,0.05714285714285714,0.07142857142857142,0.8714285714285714
return_side|FH|dir=3,0.034220532319391636,0.23574144486692014,0.7300380228136882
return_side|LOB|dir=2,0.8333333333333334,0.0,0.16666666666666666
return_side|LOB|dir=3,0.25,0.0,0.75
return_side|OTHER|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.02832244008714597,0.14814814814814814,0.8235294117647058
return_side|SERVE|dir=5,0.016042780748663103,0.1711229946524064,0.8128342245989305
return_side|SERVE|dir=6,0.021739130434782608,0.13526570048309178,0.8429951690821256
return_side|SLICE|dir=1,0.1388888888888889,0.1111111111111111,0.75
return_side|SLICE|dir=2,0.19230769230769232,0.1794871794871795,0.6282051282051282
return_side|SLICE|dir=3,0.06666666666666667,0.1111111111111111,0.8222222222222222
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.5454545454545454,0.09090909090909091,0.36363636363636365
return_side|VOLLEY|dir=2,0.6666666666666666,0.0,0.3333333333333333
return_side|VOLLEY|dir=3,0.2,0.4,0.4
serve_side|BH|dir=1,0.16071428571428573,0.13392857142857142,0.7053571428571429
serve_side|BH|dir=2,0.13908872901678657,0.16546762589928057,0.6954436450839329
serve_side|BH|dir=3,0.09004739336492891,0.17772511848341233,0.7322274881516587
serve_side|BOS|dir=0,0.1496881496881497,0.002772002772002772,0.8475398475398476
serve_side|DROP_SHOT|dir=1,0.25,0.25,0.5
serve_side|DROP_SHOT|dir=2,0.3333333333333333,0.0,0.6666666666666666
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.06506849315068493,0.17465753424657535,0.7602739726027398
serve_side|FH|dir=2,0.08187134502923976,0.15204678362573099,0.7660818713450293
serve_side|FH|dir=3,0.059322033898305086,0.19915254237288135,0.7415254237288136
serve_side|LOB|dir=1,0.2,0.4,0.4
serve_side|LOB|dir=2,0.5384615384615384,0.23076923076923078,0.23076923076923078
serve_side|LOB|dir=3,0.2222222222222222,0.2222222222222222,0.5555555555555556
serve_side|OTHER|dir=2,1.0,0.0,0.0
serve_side|OTHER|dir=3,0.5,0.5,0.0
serve_side|SERVE|dir=4,0.024896265560165973,0.0,0.975103734439834
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.022222222222222223,0.0,0.9777777777777777
serve_side|SLICE|dir=1,0.19148936170212766,0.1276595744680851,0.6808510638297872
serve_side|SLICE|dir=2,0.265,0.11,0.625
serve_side|SLICE|dir=3,0.1728395061728395,0.15432098765432098,0.6728395061728395
serve_side|VOLLEY|dir=1,0.16666666666666666,0.3333333333333333,0.5
serve_side|VOLLEY|dir=2,1.0,0.0,0.0
serve_side|VOLLEY|dir=3,0.4,0.0,0.6
