,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.15384615384615385,0.8461538461538461
return_side|DROP_SHOT|dir=1,0.0,0.5,0.5
return_side|FH|dir=1,0.0,0.18181818181818182,0.8181818181818182
return_side|FH|dir=2,0.0,0.2,0.8
return_side|FH|dir=3,0.04,0.12,0.84
return_side|LOB|dir=2,0.3333333333333333,0.0,0.6666666666666666
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.0,0.10714285714285714,0.8928571428571429
return_side|SERVE|dir=5,0.0,0.13793103448275862,0.8620689655172413
return_side|SERVE|dir=6,0.0,0.0,1.0
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,1.0,0.0,0.0
return_side|SLICE|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|SMASH|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.6,0.4
serve_side|BH|dir=2,0.0,0.23076923076923078,0.7692307692307693
serve_side|BH|dir=3,0.034482758620689655,0.13793103448275862,0.8275862068965517
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=1,0.0,0.5,0.5
serve_side|FH|dir=1,0.0,0.2777777777777778,0.7222222222222222
serve_side|FH|dir=2,0.11764705882352941,0.35294117647058826,0.5294117647058824
serve_side|FH|dir=3,0.0,0.125,0.875
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,1.0,0.0
serve_side|SMASH|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,1.0,0.0,0.0
