,win,loss,continue
return_side|BH|dir=1,0.0,0.25,0.75
return_side|BH|dir=2,0.17647058823529413,0.11764705882352941,0.7058823529411765
return_side|BH|dir=3,0.0,0.25,0.75
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|DROP_SHOT|dir=2,1.0,0.0,0.0
return_side|DROP_SHOT|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|FH|dir=1,0.030303030303030304,0.21212121212121213,0.7575757575757576
return_side|FH|dir=2,0.1875,0.03125,0.78125
return_side|FH|dir=3,0.0,0.14814814814814814,0.8518518518518519
return_side|SERVE|dir=4,0.04819277108433735,0.3614457831325301,0.5903614457831325
return_side|SERVE|dir=5,0.0,0.37735849056603776,0.6226415094339622
return_side|SERVE|dir=6,0.0,0.1875,0.8125
return_side|SLICE|dir=1,0.5,0.0,0.5
return_side|SLICE|dir=2,0.0,0.2222222222222222,0.7777777777777778
return_side|SLICE|dir=3,0.1,0.2,0.7
return_side|SMASH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,1.0,0.0,0.0
return_side|VOLLEY|dir=3,1.0,0.0,0.0
serve_side|BH|dir=1,0.3076923076923077,0.07692307692307693,0.6153846153846154
serve_side|BH|dir=2,0.08571428571428572,0.18571428571428572,0.7285714285714285
serve_side|BH|dir=3,0.14754098360655737,0.18032786885245902,0.6721311475409836
serve_side|BOS|dir=0,0.05240174672489083,0.004366812227074236,0.9432314410480349
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.058823529411764705,0.19607843137254902,0.7450980392156863
serve_side|FH|dir=2,0.09259259259259259,0.24074074074074073,0.6666666666666666
serve_side|FH|dir=3,0.08695652173913043,0.08695652173913043,0.8260869565217391
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|LOB|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|OTHER|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.13333333333333333,0.0,0.8666666666666667
serve_side|SLICE|dir=2,0.16666666666666666,0.12962962962962962,0.7037037037037037
serve_side|SLICE|dir=3,0.027777777777777776,0.1111111111111111,0.8611111111111112
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
