,win,loss,continue
return_side|BH|dir=1,0.0,0.2,0.8
return_side|BH|dir=2,0.047619047619047616,0.23809523809523808,0.7142857142857143
return_side|BH|dir=3,0.0,0.08,0.92
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.08,0.18,0.74
return_side|FH|dir=2,0.10810810810810811,0.24324324324324326,0.6486486486486487
return_side|FH|dir=3,0.041666666666666664,0.25,0.7083333333333334
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|OTHER|dir=1,0.0,0.0,1.0
return_side|SERVE|dir=4,0.014492753623188406,0.2463768115942029,0.7391304347826086
return_side|SERVE|dir=5,0.023809523809523808,0.23809523809523808,0.7380952380952381
return_side|SERVE|dir=6,0.0,0.3870967741935484,0.6129032258064516
return_side|SLICE|dir=1,0.375,0.25,0.375
return_side|SLICE|dir=2,0.0,0.3333333333333333,0.6666666666666666
return_side|SLICE|dir=3,0.3333333333333333,0.16666666666666666,0.5
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|SMASH|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.25,0.25,0.5
return_side|VOLLEY|dir=2,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.043478260869565216,0.9565217391304348
serve_side|BH|dir=2,0.056338028169014086,0.30985915492957744,0.6338028169014085
serve_side|BH|dir=3,0.044444444444444446,0.2222222222222222,0.7333333333333333
serve_side|BOS|dir=0,0.07881773399014778,0.0,0.9211822660098522
serve_side|DROP_SHOT|dir=1,1.0,0.0,0.0
serve_side|FH|dir=1,0.07692307692307693,0.21153846153846154,0.7115384615384616
serve_side|FH|dir=2,0.05454545454545454,0.21818181818181817,0.7272727272727273
serve_side|FH|dir=3,0.0,0.38461538461538464,0.6153846153846154
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.75,0.0,0.25
serve_side|OTHER|dir=1,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.023255813953488372,0.0,0.9767441860465116
serve_side|SLICE|dir=1,0.42857142857142855,0.0,0.5714285714285714
serve_side|SLICE|dir=2,0.058823529411764705,0.17647058823529413,0.7647058823529411
serve_side|SLICE|dir=3,0.25,0.25,0.5
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
