,win,loss,continue
return_side|BH|dir=1,0.16666666666666666,0.16666666666666666,0.6666666666666666
return_side|BH|dir=2,0.0,0.3333333333333333,0.6666666666666666
return_side|FH|dir=1,0.09090909090909091,0.18181818181818182,0.7272727272727273
return_side|FH|dir=2,0.0,0.2,0.8
return_side|FH|dir=3,0.0,0.25,0.75
return_side|SERVE|dir=4,0.0,0.14285714285714285,0.8571428571428571
return_side|SERVE|dir=5,0.0,0.375,0.625
return_side|SERVE|dir=6,0.0,0.125,0.875
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=3,1.0,0.0,0.0
serve_side|BH|dir=1,0.0,0.25,0.75
serve_side|BH|dir=2,0.05,0.25,0.7
serve_side|BH|dir=3,0.0,0.0,1.0
serve_side|BOS|dir=0,0.058823529411764705,0.058823529411764705,0.8823529411764706
serve_side|FH|dir=1,0.0,0.0,1.0
serve_side|FH|dir=2,0.18181818181818182,0.18181818181818182,0.6363636363636364
serve_side|FH|dir=3,0.14285714285714285,0.09523809523809523,0.7619047619047619
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,1.0,0.0
serve_side|SLICE|dir=2,0.25,0.25,0.5
serve_side|SLICE|dir=3,0.0,0.0,1.0
