,win,loss,continue
return_side|BH|dir=1,0.3333333333333333,0.0,0.6666666666666666
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.15789473684210525,0.8421052631578947
return_side|FH|dir=2,0.0,0.125,0.875
return_side|FH|dir=3,0.07692307692307693,0.07692307692307693,0.8461538461538461
return_side|SERVE|dir=4,0.0,0.037037037037037035,0.9629629629629629
return_side|SERVE|dir=5,0.0,0.1,0.9
return_side|SERVE|dir=6,0.0,0.14285714285714285,0.8571428571428571
return_side|SLICE|dir=1,0.5,0.0,0.5
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.08333333333333333,0.0,0.9166666666666666
serve_side|BH|dir=3,0.0,0.0,1.0
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|FH|dir=1,0.07894736842105263,0.15789473684210525,0.7631578947368421
serve_side|FH|dir=2,0.04,0.08,0.88
serve_side|FH|dir=3,0.024390243902439025,0.024390243902439025,0.9512195121951219
serve_side|LOB|dir=2,0.3333333333333333,0.0,0.6666666666666666
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,0.5,0.0,0.5
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
