,win,loss,continue
return_side|BH|dir=0,0.02631578947368421,0.15789473684210525,0.8157894736842105
return_side|BH|dir=1,0.01927710843373494,0.14457831325301204,0.8361445783132531
return_side|BH|dir=2,0.023872679045092837,0.10742705570291777,0.8687002652519894
return_side|BH|dir=3,0.026676279740447006,0.09949531362653208,0.8738284066330209
return_side|DROP_SHOT|dir=1,0.18181818181818182,0.12121212121212122,0.696969696969697
return_side|DROP_SHOT|dir=2,0.4,0.2,0.4
return_side|DROP_SHOT|dir=3,0.18181818181818182,0.18181818181818182,0.6363636363636364
return_side|FH|dir=0,0.017543859649122806,0.21052631578947367,0.7719298245614035
return_side|FH|dir=1,0.027613412228796843,0.18277449046679817,0.789612097304405
return_side|FH|dir=2,0.03732162458836443,0.13391877058177826,0.8287596048298573
return_side|FH|dir=3,0.02857142857142857,0.15119047619047618,0.8202380952380952
return_side|LOB|dir=1,0.0,0.0,1.0
return_side|LOB|dir=2,0.2857142857142857,0.07142857142857142,0.6428571428571429
return_side|LOB|dir=3,0.125,0.625,0.25
return_side|OTHER|dir=1,0.5,0.0,0.5
return_side|SERVE|dir=4,0.01723037651563497,0.1914486279514997,0.7913209955328654
return_side|SERVE|dir=5,0.009380863039399626,0.1378986866791745,0.8527204502814258
return_side|SERVE|dir=6,0.010644959298685034,0.15654351909830932,0.8328115216030056
return_side|SLICE|dir=0,0.0,0.11538461538461539,0.8846153846153846
return_side|SLICE|dir=1,0.09411764705882353,0.21176470588235294,0.6941176470588235
return_side|SLICE|dir=2,0.1896551724137931,0.12643678160919541,0.6839080459770115
return_side|SLICE|dir=3,0.07207207207207207,0.14414414414414414,0.7837837837837838
return_side|SMASH|dir=0,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,0.5,0.5
return_side|SMASH|dir=2,0.0,0.4444444444444444,0.5555555555555556
return_side|SMASH|dir=3,0.14285714285714285,0.35714285714285715,0.5
return_side|VOLLEY|dir=0,0.4444444444444444,0.2222222222222222,0.3333333333333333
return_side|VOLLEY|dir=1,0.24770642201834864,0.3119266055045872,0.44036697247706424
return_side|VOLLEY|dir=2,0.23404255319148937,0.23404255319148937,0.5319148936170213
return_side|VOLLEY|dir=3,0.18018018018018017,0.21621621621621623,0.6036036036036037
serve_side|BH|dir=0,0.03333333333333333,0.1,0.8666666666666667
serve_side|BH|dir=1,0.029748283752860413,0.17162471395881007,0.7986270022883295
serve_side|BH|dir=2,0.07035175879396985,0.12419239052404882,0.8054558506819813
serve_side|BH|dir=3,0.05042016806722689,0.1273432449903038,0.8222365869424693
serve_side|BOS|dir=0,0.13753468093539437,0.0031708283789139914,0.8592944906856916
serve_side|DROP_SHOT|dir=0,0.6666666666666666,0.0,0.3333333333333333
serve_side|DROP_SHOT|dir=1,0.1935483870967742,0.16129032258064516,0.6451612903225806
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.17857142857142858,0.17857142857142858,0.6428571428571429
serve_side|FH|dir=0,0.029850746268656716,0.1044776119402985,0.8656716417910447
serve_side|FH|dir=1,0.05147759771210677,0.18589132507149667,0.7626310772163966
serve_side|FH|dir=2,0.06496815286624204,0.13503184713375796,0.8
serve_side|FH|dir=3,0.04032997250229148,0.14115490375802017,0.8185151237396884
serve_side|LOB|dir=0,0.5714285714285714,0.0,0.42857142857142855
serve_side|LOB|dir=1,0.375,0.0,0.625
serve_side|LOB|dir=2,0.41935483870967744,0.0967741935483871,0.4838709677419355
serve_side|LOB|dir=3,0.2608695652173913,0.2608695652173913,0.4782608695652174
serve_side|OTHER|dir=0,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.022099447513812154,0.0,0.9779005524861878
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.025386313465783666,0.0,0.9746136865342163
serve_side|SLICE|dir=0,0.03125,0.0625,0.90625
serve_side|SLICE|dir=1,0.16560509554140126,0.15286624203821655,0.6815286624203821
serve_side|SLICE|dir=2,0.22564935064935066,0.08766233766233766,0.6866883116883117
serve_side|SLICE|dir=3,0.14587737843551796,0.11205073995771671,0.7420718816067653
serve_side|SMASH|dir=1,0.0,1.0,0.0
serve_side|SMASH|dir=2,0.0,0.0,1.0
serve_side|SMASH|dir=3,0.0,0.5714285714285714,0.42857142857142855
serve_side|VOLLEY|dir=0,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.22727272727272727,0.18181818181818182,0.5909090909090909
serve_side|VOLLEY|dir=2,0.4117647058823529,0.11764705882352941,0.47058823529411764
serve_side|VOLLEY|dir=3,0.2727272727272727,0.12121212121212122,0.6060606060606061
