,win,loss,continue
return_side|BH|dir=1,0.06976744186046512,0.18604651162790697,0.7441860465116279
return_side|BH|dir=2,0.01098901098901099,0.08791208791208792,0.9010989010989011
return_side|BH|dir=3,0.014705882352941176,0.21323529411764705,0.7720588235294118
return_side|DROP_SHOT|dir=1,0.2,0.26666666666666666,0.5333333333333333
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.13333333333333333,0.2,0.6666666666666666
return_side|FH|dir=1,0.041666666666666664,0.23809523809523808,0.7202380952380952
return_side|FH|dir=2,0.05747126436781609,0.14942528735632185,0.7931034482758621
return_side|FH|dir=3,0.030303030303030304,0.22727272727272727,0.7424242424242424
return_side|LOB|dir=2,0.5,0.0,0.5
return_side|LOB|dir=3,0.5,0.0,0.5
return_side|SERVE|dir=4,0.026200873362445413,0.18340611353711792,0.7903930131004366
return_side|SERVE|dir=5,0.024539877300613498,0.15337423312883436,0.8220858895705522
return_side|SERVE|dir=6,0.008620689655172414,0.1853448275862069,0.8060344827586207
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.12962962962962962,0.18518518518518517,0.6851851851851852
return_side|SLICE|dir=3,0.125,0.25,0.625
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=2,0.5,0.0,0.5
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.6666666666666666,0.2222222222222222,0.1111111111111111
return_side|VOLLEY|dir=2,0.0,0.25,0.75
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.07228915662650602,0.07228915662650602,0.8554216867469879
serve_side|BH|dir=2,0.035483870967741936,0.14838709677419354,0.8161290322580645
serve_side|BH|dir=3,0.04040404040404041,0.18686868686868688,0.7727272727272727
serve_side|BOS|dir=0,0.0835214446952596,0.0,0.9164785553047404
serve_side|DROP_SHOT|dir=1,0.375,0.0,0.625
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.04591836734693878,0.2193877551020408,0.7346938775510204
serve_side|FH|dir=2,0.04048582995951417,0.145748987854251,0.8137651821862348
serve_side|FH|dir=3,0.041379310344827586,0.15862068965517243,0.8
serve_side|LOB|dir=1,0.5,0.0,0.5
serve_side|LOB|dir=2,0.625,0.125,0.25
serve_side|LOB|dir=3,0.2222222222222222,0.4444444444444444,0.3333333333333333
serve_side|OTHER|dir=1,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.0,0.16666666666666666,0.8333333333333334
serve_side|OTHER|dir=3,0.0,0.25,0.75
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.022988505747126436,0.0,0.9770114942528736
serve_side|SERVE|dir=5,0.038461538461538464,0.0,0.9615384615384616
serve_side|SERVE|dir=6,0.013333333333333334,0.0,0.9866666666666667
serve_side|SLICE|dir=1,0.25925925925925924,0.14814814814814814,0.5925925925925926
serve_side|SLICE|dir=2,0.18072289156626506,0.13253012048192772,0.6867469879518072
serve_side|SLICE|dir=3,0.11494252873563218,0.16091954022988506,0.7241379310344828
serve_side|VOLLEY|dir=1,0.0,0.5,0.5
serve_side|VOLLEY|dir=2,0.0,0.25,0.75
serve_side|VOLLEY|dir=3,0.0,0.0,1.0
