,win,loss,continue
return_side|BH|dir=1,0.0,0.125,0.875
return_side|BH|dir=2,0.05263157894736842,0.0,0.9473684210526315
return_side|BH|dir=3,0.0,0.14285714285714285,0.8571428571428571
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.13333333333333333,0.8666666666666667
return_side|FH|dir=2,0.0,0.18181818181818182,0.8181818181818182
return_side|FH|dir=3,0.03125,0.125,0.84375
return_side|SERVE|dir=4,0.0,0.18181818181818182,0.8181818181818182
return_side|SERVE|dir=5,0.0,0.125,0.875
return_side|SERVE|dir=6,0.0,0.21428571428571427,0.7857142857142857
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=2,1.0,0.0,0.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,1.0,0.0,0.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.5,0.5
serve_side|BH|dir=2,0.058823529411764705,0.11764705882352941,0.8235294117647058
serve_side|BH|dir=3,0.16666666666666666,0.0,0.8333333333333334
serve_side|BOS|dir=0,0.02127659574468085,0.0,0.9787234042553191
serve_side|FH|dir=1,0.08333333333333333,0.16666666666666666,0.75
serve_side|FH|dir=2,0.0,0.05,0.95
serve_side|FH|dir=3,0.0,0.21428571428571427,0.7857142857142857
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,1.0,0.0,0.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,1.0,0.0,0.0
