,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=3,0.0,0.5,0.5
return_side|DROP_SHOT|dir=3,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.25,0.75
return_side|FH|dir=2,0.0,0.2,0.8
return_side|FH|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.375,0.625
return_side|SERVE|dir=5,0.0,0.07142857142857142,0.9285714285714286
return_side|SERVE|dir=6,0.058823529411764705,0.29411764705882354,0.6470588235294118
return_side|VOLLEY|dir=1,0.5,0.5,0.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.07142857142857142,0.2857142857142857,0.6428571428571429
serve_side|BH|dir=3,0.0,0.75,0.25
serve_side|BOS|dir=0,0.14545454545454545,0.0,0.8545454545454545
serve_side|FH|dir=1,0.0,0.4,0.6
serve_side|FH|dir=2,0.0,0.17647058823529413,0.8235294117647058
serve_side|FH|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|SERVE|dir=4,0.0,0.125,0.875
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,1.0,0.0
serve_side|SLICE|dir=2,0.2727272727272727,0.2727272727272727,0.45454545454545453
serve_side|SLICE|dir=3,0.0,0.0,1.0
