,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.14285714285714285,0.8571428571428571
return_side|BH|dir=3,0.0,0.21428571428571427,0.7857142857142857
return_side|DROP_SHOT|dir=1,0.0,0.25,0.75
return_side|FH|dir=1,0.03125,0.28125,0.6875
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.0,0.2,0.8
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.018518518518518517,0.37037037037037035,0.6111111111111112
return_side|SERVE|dir=5,0.0,0.2777777777777778,0.7222222222222222
return_side|SERVE|dir=6,0.01818181818181818,0.2727272727272727,0.7090909090909091
return_side|SLICE|dir=1,0.3333333333333333,0.0,0.6666666666666666
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.16666666666666666,0.16666666666666666,0.6666666666666666
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.6666666666666666,0.0,0.3333333333333333
serve_side|BH|dir=1,0.047619047619047616,0.14285714285714285,0.8095238095238095
serve_side|BH|dir=2,0.05172413793103448,0.1724137931034483,0.7758620689655172
serve_side|BH|dir=3,0.044444444444444446,0.16666666666666666,0.7888888888888889
serve_side|BOS|dir=0,0.035175879396984924,0.0,0.964824120603015
serve_side|DROP_SHOT|dir=1,0.3333333333333333,0.0,0.6666666666666666
serve_side|DROP_SHOT|dir=2,1.0,0.0,0.0
serve_side|FH|dir=1,0.0,0.1111111111111111,0.8888888888888888
serve_side|FH|dir=2,0.037037037037037035,0.14814814814814814,0.8148148148148148
serve_side|FH|dir=3,0.027777777777777776,0.19444444444444445,0.7777777777777778
serve_side|LOB|dir=1,0.6666666666666666,0.0,0.3333333333333333
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|LOB|dir=3,0.16666666666666666,0.0,0.8333333333333334
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.15384615384615385,0.0,0.8461538461538461
serve_side|SLICE|dir=2,0.08333333333333333,0.041666666666666664,0.875
serve_side|SLICE|dir=3,0.11538461538461539,0.15384615384615385,0.7307692307692307
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
