,win,loss,continue
return_side|BH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=2,0.0,0.14285714285714285,0.8571428571428571
return_side|BH|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|DROP_SHOT|dir=3,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.2222222222222222,0.7777777777777778
return_side|FH|dir=2,0.0,0.14285714285714285,0.8571428571428571
return_side|FH|dir=3,0.0,0.25,0.75
return_side|SERVE|dir=4,0.0,0.47368421052631576,0.5263157894736842
return_side|SERVE|dir=5,0.05555555555555555,0.2777777777777778,0.6666666666666666
return_side|SERVE|dir=6,0.0,0.3103448275862069,0.6896551724137931
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|SMASH|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.6,0.4
serve_side|BH|dir=2,0.05714285714285714,0.17142857142857143,0.7714285714285715
serve_side|BH|dir=3,0.1111111111111111,0.2222222222222222,0.6666666666666666
serve_side|BOS|dir=0,0.1889763779527559,0.0,0.8110236220472441
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|FH|dir=1,0.1,0.2,0.7
serve_side|FH|dir=2,0.030303030303030304,0.15151515151515152,0.8181818181818182
serve_side|FH|dir=3,0.058823529411764705,0.0,0.9411764705882353
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.11538461538461539,0.0,0.8846153846153846
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.15384615384615385,0.23076923076923078,0.6153846153846154
serve_side|SLICE|dir=3,0.08333333333333333,0.16666666666666666,0.75
serve_side|VOLLEY|dir=2,0.0,1.0,0.0
