,win,loss,continue
return_side|BH|dir=1,0.0,0.14285714285714285,0.8571428571428571
return_side|BH|dir=2,0.023809523809523808,0.047619047619047616,0.9285714285714286
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.04878048780487805,0.9512195121951219
return_side|FH|dir=2,0.04081632653061224,0.08163265306122448,0.8775510204081632
return_side|FH|dir=3,0.03333333333333333,0.26666666666666666,0.7
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.1891891891891892,0.8108108108108109
return_side|SERVE|dir=5,0.0,0.10344827586206896,0.896551724137931
return_side|SERVE|dir=6,0.05263157894736842,0.21052631578947367,0.7368421052631579
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.16666666666666666,0.0,0.8333333333333334
return_side|SLICE|dir=3,0.4,0.2,0.4
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.03571428571428571,0.08928571428571429,0.875
serve_side|BH|dir=3,0.0,0.05555555555555555,0.9444444444444444
serve_side|BOS|dir=0,0.04225352112676056,0.0,0.9577464788732394
serve_side|DROP_SHOT|dir=2,1.0,0.0,0.0
serve_side|FH|dir=1,0.04,0.24,0.72
serve_side|FH|dir=2,0.06060606060606061,0.09090909090909091,0.8484848484848485
serve_side|FH|dir=3,0.0,0.1111111111111111,0.8888888888888888
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.2222222222222222,0.1111111111111111,0.6666666666666666
serve_side|SLICE|dir=3,0.0,0.0,1.0
