,win,loss,continue
return_side|BH|dir=0,0.11538461538461539,0.19230769230769232,0.6923076923076923
return_side|BH|dir=1,0.0,0.6666666666666666,0.3333333333333333
return_side|BH|dir=2,0.0,0.5,0.5
return_side|BH|dir=3,0.0,0.21052631578947367,0.7894736842105263
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=0,0.06976744186046512,0.23255813953488372,0.6976744186046512
return_side|FH|dir=1,0.13636363636363635,0.2727272727272727,0.5909090909090909
return_side|FH|dir=2,0.0,0.2727272727272727,0.7272727272727273
return_side|FH|dir=3,0.0,0.13636363636363635,0.8636363636363636
return_side|LOB|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.03571428571428571,0.26785714285714285,0.6964285714285714
return_side|SERVE|dir=5,0.021739130434782608,0.3695652173913043,0.6086956521739131
return_side|SERVE|dir=6,0.018867924528301886,0.22641509433962265,0.7547169811320755
return_side|SLICE|dir=0,0.2,0.1,0.7
return_side|SLICE|dir=2,0.5,0.0,0.5
return_side|SLICE|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|BH|dir=0,0.046153846153846156,0.27692307692307694,0.676923076923077
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.029411764705882353,0.29411764705882354,0.6764705882352942
serve_side|BH|dir=3,0.0851063829787234,0.2127659574468085,0.7021276595744681
serve_side|BOS|dir=0,0.1099290780141844,0.0,0.8900709219858156
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|FH|dir=0,0.15555555555555556,0.28888888888888886,0.5555555555555556
serve_side|FH|dir=1,0.08,0.2,0.72
serve_side|FH|dir=2,0.09523809523809523,0.19047619047619047,0.7142857142857143
serve_side|FH|dir=3,0.07142857142857142,0.14285714285714285,0.7857142857142857
serve_side|LOB|dir=0,0.0,0.0,1.0
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=2,0.3333333333333333,0.0,0.6666666666666666
serve_side|LOB|dir=3,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.023809523809523808,0.0,0.9761904761904762
serve_side|SLICE|dir=0,0.4,0.6,0.0
serve_side|SLICE|dir=1,0.0,0.2,0.8
serve_side|SLICE|dir=2,0.16666666666666666,0.0,0.8333333333333334
serve_side|SLICE|dir=3,0.09090909090909091,0.2727272727272727,0.6363636363636364
serve_side|VOLLEY|dir=1,1.0,0.0,0.0
