,win,loss,continue
return_side|BH|dir=0,0.02702702702702703,0.16216216216216217,0.8108108108108109
return_side|BH|dir=1,0.07514450867052024,0.24855491329479767,0.6763005780346821
return_side|BH|dir=2,0.0851063829787234,0.13617021276595745,0.7787234042553192
return_side|BH|dir=3,0.032520325203252036,0.1978319783197832,0.7696476964769647
return_side|DROP_SHOT|dir=1,0.17647058823529413,0.47058823529411764,0.35294117647058826
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.09523809523809523,0.19047619047619047,0.7142857142857143
return_side|FH|dir=0,0.05555555555555555,0.25,0.6944444444444444
return_side|FH|dir=1,0.04299065420560748,0.2485981308411215,0.708411214953271
return_side|FH|dir=2,0.05821917808219178,0.13013698630136986,0.8116438356164384
return_side|FH|dir=3,0.03293807641633729,0.1963109354413702,0.7707509881422925
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|LOB|dir=2,0.375,0.125,0.5
return_side|LOB|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|OTHER|dir=2,0.5,0.0,0.5
return_side|OTHER|dir=3,0.0,1.0,0.0
return_side|SERVE|dir=4,0.024676850763807285,0.1598119858989424,0.8155111633372503
return_side|SERVE|dir=5,0.02247191011235955,0.1662921348314607,0.8112359550561797
return_side|SERVE|dir=6,0.01015228426395939,0.15862944162436549,0.8312182741116751
return_side|SLICE|dir=0,0.6666666666666666,0.0,0.3333333333333333
return_side|SLICE|dir=1,0.19047619047619047,0.16666666666666666,0.6428571428571429
return_side|SLICE|dir=2,0.1724137931034483,0.12643678160919541,0.7011494252873564
return_side|SLICE|dir=3,0.11538461538461539,0.17692307692307693,0.7076923076923077
return_side|SMASH|dir=1,0.0,0.14285714285714285,0.8571428571428571
return_side|SMASH|dir=2,0.0,0.25,0.75
return_side|SMASH|dir=3,0.125,0.375,0.5
return_side|VOLLEY|dir=1,0.14285714285714285,0.42857142857142855,0.42857142857142855
return_side|VOLLEY|dir=2,0.2,0.4666666666666667,0.3333333333333333
return_side|VOLLEY|dir=3,0.21052631578947367,0.15789473684210525,0.631578947368421
serve_side|BH|dir=0,0.08695652173913043,0.34782608695652173,0.5652173913043478
serve_side|BH|dir=1,0.13656387665198239,0.22026431718061673,0.6431718061674009
serve_side|BH|dir=2,0.09658246656760773,0.17087667161961367,0.7325408618127786
serve_side|BH|dir=3,0.07755775577557755,0.17656765676567657,0.7458745874587459
serve_side|BOS|dir=0,0.13373983739837397,0.0,0.866260162601626
serve_side|DROP_SHOT|dir=1,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|DROP_SHOT|dir=3,0.3333333333333333,0.2222222222222222,0.4444444444444444
serve_side|FH|dir=0,0.09090909090909091,0.2727272727272727,0.6363636363636364
serve_side|FH|dir=1,0.08290155440414508,0.25129533678756477,0.6658031088082902
serve_side|FH|dir=2,0.11007462686567164,0.17164179104477612,0.7182835820895522
serve_side|FH|dir=3,0.05894736842105263,0.17894736842105263,0.7621052631578947
serve_side|LOB|dir=0,0.0,0.3333333333333333,0.6666666666666666
serve_side|LOB|dir=1,0.875,0.0,0.125
serve_side|LOB|dir=2,0.5416666666666666,0.16666666666666666,0.2916666666666667
serve_side|LOB|dir=3,0.1,0.3,0.6
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.023752969121140142,0.0,0.9762470308788599
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.02666666666666667,0.0,0.9733333333333334
serve_side|SLICE|dir=0,0.6666666666666666,0.0,0.3333333333333333
serve_side|SLICE|dir=1,0.28865979381443296,0.1134020618556701,0.5979381443298969
serve_side|SLICE|dir=2,0.3054393305439331,0.100418410041841,0.5941422594142259
serve_side|SLICE|dir=3,0.17256637168141592,0.13716814159292035,0.6902654867256637
serve_side|SMASH|dir=1,0.5,0.5,0.0
serve_side|SMASH|dir=2,0.5,0.0,0.5
serve_side|SMASH|dir=3,0.0,0.5,0.5
serve_side|VOLLEY|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|VOLLEY|dir=2,0.75,0.0,0.25
serve_side|VOLLEY|dir=3,0.4,0.4,0.2
