,win,loss,continue
return_side|BH|dir=0,0.03225806451612903,0.0967741935483871,0.8709677419354839
return_side|BH|dir=1,0.009900990099009901,0.1485148514851485,0.8415841584158416
return_side|BH|dir=2,0.029197080291970802,0.12408759124087591,0.8467153284671532
return_side|BH|dir=3,0.05,0.15,0.8
return_side|DROP_SHOT|dir=0,0.0,1.0,0.0
return_side|DROP_SHOT|dir=1,0.2,0.2,0.6
return_side|DROP_SHOT|dir=2,0.3333333333333333,0.0,0.6666666666666666
return_side|DROP_SHOT|dir=3,0.375,0.125,0.5
return_side|FH|dir=0,0.014285714285714285,0.15714285714285714,0.8285714285714286
return_side|FH|dir=1,0.02074688796680498,0.17012448132780084,0.8091286307053942
return_side|FH|dir=2,0.030303030303030304,0.15757575757575756,0.8121212121212121
return_side|FH|dir=3,0.04597701149425287,0.19157088122605365,0.7624521072796935
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|LOB|dir=2,0.7777777777777778,0.0,0.2222222222222222
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.004866180048661801,0.25304136253041365,0.7420924574209246
return_side|SERVE|dir=5,0.01984126984126984,0.17063492063492064,0.8095238095238095
return_side|SERVE|dir=6,0.003076923076923077,0.21846153846153846,0.7784615384615384
return_side|SLICE|dir=0,0.3333333333333333,0.0,0.6666666666666666
return_side|SLICE|dir=1,0.08695652173913043,0.043478260869565216,0.8695652173913043
return_side|SLICE|dir=2,0.13333333333333333,0.1,0.7666666666666667
return_side|SLICE|dir=3,0.0851063829787234,0.14893617021276595,0.7659574468085106
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=0,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.1875,0.4375,0.375
return_side|VOLLEY|dir=2,0.38461538461538464,0.19230769230769232,0.4230769230769231
return_side|VOLLEY|dir=3,0.2692307692307692,0.2692307692307692,0.46153846153846156
serve_side|BH|dir=0,0.05154639175257732,0.18556701030927836,0.7628865979381443
serve_side|BH|dir=1,0.023529411764705882,0.10588235294117647,0.8705882352941177
serve_side|BH|dir=2,0.016666666666666666,0.09761904761904762,0.8857142857142857
serve_side|BH|dir=3,0.025906735751295335,0.10103626943005181,0.8730569948186528
serve_side|BOS|dir=0,0.05646481178396072,0.0,0.9435351882160393
serve_side|DROP_SHOT|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=1,0.0,1.0,0.0
serve_side|DROP_SHOT|dir=2,0.2,0.0,0.8
serve_side|DROP_SHOT|dir=3,0.06666666666666667,0.13333333333333333,0.8
serve_side|FH|dir=0,0.05555555555555555,0.1111111111111111,0.8333333333333334
serve_side|FH|dir=1,0.02717391304347826,0.1358695652173913,0.8369565217391305
serve_side|FH|dir=2,0.027989821882951654,0.089058524173028,0.8829516539440203
serve_side|FH|dir=3,0.017241379310344827,0.11494252873563218,0.867816091954023
serve_side|LOB|dir=1,0.6,0.1,0.3
serve_side|LOB|dir=2,0.26666666666666666,0.26666666666666666,0.4666666666666667
serve_side|LOB|dir=3,0.23076923076923078,0.07692307692307693,0.6923076923076923
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0547945205479452,0.1095890410958904,0.8356164383561644
serve_side|SLICE|dir=2,0.08181818181818182,0.11818181818181818,0.8
serve_side|SLICE|dir=3,0.04938271604938271,0.08024691358024691,0.8703703703703703
serve_side|SMASH|dir=2,0.0,1.0,0.0
serve_side|SMASH|dir=3,0.0,1.0,0.0
serve_side|VOLLEY|dir=1,0.3333333333333333,0.5,0.16666666666666666
serve_side|VOLLEY|dir=2,0.5,0.3,0.2
serve_side|VOLLEY|dir=3,0.2222222222222222,0.2222222222222222,0.5555555555555556
