,win,loss,continue
return_side|BH|dir=0,0.0,0.1111111111111111,0.8888888888888888
return_side|BH|dir=1,0.0196078431372549,0.2549019607843137,0.7254901960784313
return_side|BH|dir=2,0.018867924528301886,0.11320754716981132,0.8679245283018868
return_side|BH|dir=3,0.03896103896103896,0.19480519480519481,0.7662337662337663
return_side|DROP_SHOT|dir=1,0.2222222222222222,0.4444444444444444,0.3333333333333333
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.25,0.5,0.25
return_side|FH|dir=0,0.0136986301369863,0.1643835616438356,0.821917808219178
return_side|FH|dir=1,0.01932367149758454,0.21256038647342995,0.7681159420289855
return_side|FH|dir=2,0.022388059701492536,0.08955223880597014,0.8880597014925373
return_side|FH|dir=3,0.017699115044247787,0.18141592920353983,0.8008849557522124
return_side|LOB|dir=1,0.0,0.0,1.0
return_side|LOB|dir=2,0.0,0.2,0.8
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.012698412698412698,0.1523809523809524,0.834920634920635
return_side|SERVE|dir=5,0.017857142857142856,0.09821428571428571,0.8839285714285714
return_side|SERVE|dir=6,0.0035460992907801418,0.1524822695035461,0.8439716312056738
return_side|SLICE|dir=0,0.3333333333333333,0.0,0.6666666666666666
return_side|SLICE|dir=1,0.5714285714285714,0.14285714285714285,0.2857142857142857
return_side|SLICE|dir=2,0.20689655172413793,0.0,0.7931034482758621
return_side|SLICE|dir=3,0.07142857142857142,0.05357142857142857,0.875
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=0,1.0,0.0,0.0
return_side|VOLLEY|dir=1,0.5,0.1,0.4
return_side|VOLLEY|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.16666666666666666,0.3333333333333333,0.5
serve_side|BH|dir=0,0.022727272727272728,0.13636363636363635,0.8409090909090909
serve_side|BH|dir=1,0.036585365853658534,0.23170731707317074,0.7317073170731707
serve_side|BH|dir=2,0.04946996466431095,0.09187279151943463,0.8586572438162544
serve_side|BH|dir=3,0.03581267217630854,0.12121212121212122,0.8429752066115702
serve_side|BOS|dir=0,0.07234539089848308,0.0,0.9276546091015169
serve_side|DROP_SHOT|dir=1,0.0,1.0,0.0
serve_side|DROP_SHOT|dir=2,1.0,0.0,0.0
serve_side|DROP_SHOT|dir=3,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|FH|dir=0,0.06060606060606061,0.09090909090909091,0.8484848484848485
serve_side|FH|dir=1,0.04065040650406504,0.18292682926829268,0.7764227642276422
serve_side|FH|dir=2,0.06529209621993128,0.10652920962199312,0.8281786941580757
serve_side|FH|dir=3,0.02,0.185,0.795
serve_side|LOB|dir=0,1.0,0.0,0.0
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=2,0.5333333333333333,0.13333333333333333,0.3333333333333333
serve_side|LOB|dir=3,0.3333333333333333,0.0,0.6666666666666666
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=0,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.2222222222222222,0.05555555555555555,0.7222222222222222
serve_side|SLICE|dir=2,0.1625,0.1,0.7375
serve_side|SLICE|dir=3,0.1574074074074074,0.05555555555555555,0.7870370370370371
serve_side|VOLLEY|dir=0,1.0,0.0,0.0
serve_side|VOLLEY|dir=1,0.0,0.5,0.5
serve_side|VOLLEY|dir=2,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.5,0.0,0.5
