,win,loss,continue
return_side|BH|dir=1,0.0,0.5,0.5
return_side|BH|dir=2,0.0,0.375,0.625
return_side|BH|dir=3,0.043478260869565216,0.17391304347826086,0.782608695652174
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=2,1.0,0.0,0.0
return_side|FH|dir=1,0.0,0.5,0.5
return_side|FH|dir=2,0.0,0.45454545454545453,0.5454545454545454
return_side|FH|dir=3,0.14285714285714285,0.2857142857142857,0.5714285714285714
return_side|SERVE|dir=4,0.0,0.21052631578947367,0.7894736842105263
return_side|SERVE|dir=5,0.041666666666666664,0.2916666666666667,0.6666666666666666
return_side|SERVE|dir=6,0.0,0.2857142857142857,0.7142857142857143
return_side|SLICE|dir=2,0.0,1.0,0.0
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,1.0,0.0
serve_side|BH|dir=0,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.2,0.8
serve_side|BH|dir=2,0.03389830508474576,0.1016949152542373,0.864406779661017
serve_side|BH|dir=3,0.06172839506172839,0.1728395061728395,0.7654320987654321
serve_side|BOS|dir=0,0.025806451612903226,0.0,0.9741935483870968
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.5,0.5
serve_side|FH|dir=1,0.14285714285714285,0.22857142857142856,0.6285714285714286
serve_side|FH|dir=2,0.0625,0.25,0.6875
serve_side|FH|dir=3,0.0,0.16666666666666666,0.8333333333333334
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.2,0.3,0.5
serve_side|SLICE|dir=3,0.4444444444444444,0.1111111111111111,0.4444444444444444
serve_side|SMASH|dir=2,1.0,0.0,0.0
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,1.0,0.0,0.0
