,win,loss,continue
return_side|BH|dir=1,0.0,0.5,0.5
return_side|BH|dir=2,0.3333333333333333,0.0,0.6666666666666666
return_side|BH|dir=3,0.0,0.7142857142857143,0.2857142857142857
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.16666666666666666,0.8333333333333334
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.0,0.2,0.8
return_side|SERVE|dir=4,0.2,0.3,0.5
return_side|SERVE|dir=5,0.0,0.125,0.875
return_side|SERVE|dir=6,0.0,0.38461538461538464,0.6153846153846154
return_side|SLICE|dir=2,1.0,0.0,0.0
return_side|SLICE|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.25,0.75
serve_side|BH|dir=2,0.15384615384615385,0.15384615384615385,0.6923076923076923
serve_side|BH|dir=3,0.0,0.5,0.5
serve_side|BOS|dir=0,0.06382978723404255,0.0,0.9361702127659575
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.0,0.5714285714285714,0.42857142857142855
serve_side|FH|dir=2,0.07692307692307693,0.15384615384615385,0.7692307692307693
serve_side|FH|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.5,0.0,0.5
serve_side|SLICE|dir=3,1.0,0.0,0.0
serve_side|SMASH|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
