,win,loss,continue
return_side|BH|dir=2,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.5,0.5
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.6666666666666666,0.3333333333333333
return_side|SERVE|dir=5,0.0,0.8333333333333334,0.16666666666666666
return_side|SERVE|dir=6,0.0,1.0,0.0
serve_side|BH|dir=2,0.0,0.25,0.75
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.5,0.5
serve_side|FH|dir=2,0.0,0.5555555555555556,0.4444444444444444
serve_side|FH|dir=3,0.0,0.4,0.6
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
