,win,loss,continue
return_side|BH|dir=1,0.6666666666666666,0.0,0.3333333333333333
return_side|BH|dir=2,0.0625,0.1875,0.75
return_side|BH|dir=3,0.06896551724137931,0.13793103448275862,0.7931034482758621
return_side|DROP_SHOT|dir=3,0.3333333333333333,0.5,0.16666666666666666
return_side|FH|dir=1,0.05,0.2833333333333333,0.6666666666666666
return_side|FH|dir=2,0.2,0.04,0.76
return_side|FH|dir=3,0.03225806451612903,0.3064516129032258,0.6612903225806451
return_side|SERVE|dir=4,0.0641025641025641,0.2564102564102564,0.6794871794871795
return_side|SERVE|dir=5,0.02040816326530612,0.24489795918367346,0.7346938775510204
return_side|SERVE|dir=6,0.0125,0.1625,0.825
return_side|SLICE|dir=1,1.0,0.0,0.0
return_side|SLICE|dir=2,0.0,0.6666666666666666,0.3333333333333333
return_side|SLICE|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|SMASH|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=2,0.5,0.5,0.0
return_side|VOLLEY|dir=3,0.14285714285714285,0.2857142857142857,0.5714285714285714
serve_side|BH|dir=1,0.1875,0.125,0.6875
serve_side|BH|dir=2,0.15,0.175,0.675
serve_side|BH|dir=3,0.10526315789473684,0.17105263157894737,0.7236842105263158
serve_side|BOS|dir=0,0.043795620437956206,0.0,0.9562043795620438
serve_side|DROP_SHOT|dir=3,0.5,0.0,0.5
serve_side|FH|dir=1,0.03076923076923077,0.2923076923076923,0.676923076923077
serve_side|FH|dir=2,0.06451612903225806,0.16129032258064516,0.7741935483870968
serve_side|FH|dir=3,0.04081632653061224,0.32653061224489793,0.6326530612244898
serve_side|LOB|dir=1,0.5,0.5,0.0
serve_side|LOB|dir=2,0.0,1.0,0.0
serve_side|LOB|dir=3,0.0,0.6666666666666666,0.3333333333333333
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.16666666666666666,0.3333333333333333,0.5
serve_side|SLICE|dir=2,0.15789473684210525,0.15789473684210525,0.6842105263157895
serve_side|SLICE|dir=3,0.10810810810810811,0.16216216216216217,0.7297297297297297
serve_side|SMASH|dir=1,0.0,1.0,0.0
serve_side|SMASH|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.3333333333333333,0.16666666666666666,0.5
