,win,loss,continue
return_side|BH|dir=1,0.0,0.375,0.625
return_side|BH|dir=2,0.047619047619047616,0.09523809523809523,0.8571428571428571
return_side|BH|dir=3,0.047619047619047616,0.14285714285714285,0.8095238095238095
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|FH|dir=1,0.13953488372093023,0.06976744186046512,0.7906976744186046
return_side|FH|dir=2,0.08333333333333333,0.125,0.7916666666666666
return_side|FH|dir=3,0.0,0.2619047619047619,0.7380952380952381
return_side|SERVE|dir=4,0.0,0.36538461538461536,0.6346153846153846
return_side|SERVE|dir=5,0.09090909090909091,0.15151515151515152,0.7575757575757576
return_side|SERVE|dir=6,0.01818181818181818,0.32727272727272727,0.6545454545454545
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.1111111111111111,0.0,0.8888888888888888
return_side|SLICE|dir=3,0.07142857142857142,0.35714285714285715,0.5714285714285714
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.2,0.6,0.2
return_side|VOLLEY|dir=2,0.25,0.5,0.25
return_side|VOLLEY|dir=3,0.0,0.5,0.5
serve_side|BH|dir=1,0.10526315789473684,0.2631578947368421,0.631578947368421
serve_side|BH|dir=2,0.11764705882352941,0.19607843137254902,0.6862745098039216
serve_side|BH|dir=3,0.1111111111111111,0.1388888888888889,0.75
serve_side|BOS|dir=0,0.06565656565656566,0.005050505050505051,0.9292929292929293
serve_side|DROP_SHOT|dir=3,0.3333333333333333,0.0,0.6666666666666666
serve_side|FH|dir=1,0.04,0.18,0.78
serve_side|FH|dir=2,0.08163265306122448,0.16326530612244897,0.7551020408163265
serve_side|FH|dir=3,0.03333333333333333,0.2,0.7666666666666667
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.75,0.25,0.0
serve_side|LOB|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|OTHER|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.029411764705882353,0.0,0.9705882352941176
serve_side|SLICE|dir=1,0.0,0.25,0.75
serve_side|SLICE|dir=2,0.36363636363636365,0.18181818181818182,0.45454545454545453
serve_side|SLICE|dir=3,0.09523809523809523,0.19047619047619047,0.7142857142857143
serve_side|VOLLEY|dir=1,0.5,0.0,0.5
serve_side|VOLLEY|dir=2,0.6666666666666666,0.0,0.3333333333333333
