,win,loss,continue
return_side|BH|dir=1,0.02857142857142857,0.22857142857142856,0.7428571428571429
return_side|BH|dir=2,0.03571428571428571,0.14285714285714285,0.8214285714285714
return_side|BH|dir=3,0.0423728813559322,0.19491525423728814,0.7627118644067796
return_side|DROP_SHOT|dir=1,0.14285714285714285,0.14285714285714285,0.7142857142857143
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.07142857142857142,0.5714285714285714,0.35714285714285715
return_side|FH|dir=1,0.01834862385321101,0.1926605504587156,0.7889908256880734
return_side|FH|dir=2,0.04918032786885246,0.13114754098360656,0.819672131147541
return_side|FH|dir=3,0.03076923076923077,0.14615384615384616,0.823076923076923
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|LOB|dir=2,0.4,0.0,0.6
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|OTHER|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=0,0.0,0.0,1.0
return_side|SERVE|dir=4,0.019801980198019802,0.21782178217821782,0.7623762376237624
return_side|SERVE|dir=5,0.0,0.21052631578947367,0.7894736842105263
return_side|SERVE|dir=6,0.013986013986013986,0.1958041958041958,0.7902097902097902
return_side|SLICE|dir=1,0.3333333333333333,0.0,0.6666666666666666
return_side|SLICE|dir=2,0.06666666666666667,0.06666666666666667,0.8666666666666667
return_side|SLICE|dir=3,0.10256410256410256,0.15384615384615385,0.7435897435897436
return_side|SMASH|dir=1,0.0,0.75,0.25
return_side|SMASH|dir=3,0.0,0.6,0.4
return_side|VOLLEY|dir=1,0.3,0.4,0.3
return_side|VOLLEY|dir=2,0.2857142857142857,0.5714285714285714,0.14285714285714285
return_side|VOLLEY|dir=3,0.13333333333333333,0.13333333333333333,0.7333333333333333
serve_side|BH|dir=1,0.10344827586206896,0.2413793103448276,0.6551724137931034
serve_side|BH|dir=2,0.0784313725490196,0.14705882352941177,0.7745098039215687
serve_side|BH|dir=3,0.017391304347826087,0.23478260869565218,0.7478260869565218
serve_side|BOS|dir=0,0.15869565217391304,0.0,0.841304347826087
serve_side|DROP_SHOT|dir=1,0.0,0.2,0.8
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.5,0.5
serve_side|FH|dir=1,0.014705882352941176,0.27941176470588236,0.7058823529411765
serve_side|FH|dir=2,0.12643678160919541,0.20689655172413793,0.6666666666666666
serve_side|FH|dir=3,0.0375,0.1875,0.775
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.5,0.1,0.4
serve_side|LOB|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|SERVE|dir=4,0.024390243902439025,0.0,0.975609756097561
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.06666666666666667,0.13333333333333333,0.8
serve_side|SLICE|dir=2,0.1836734693877551,0.10204081632653061,0.7142857142857143
serve_side|SLICE|dir=3,0.05555555555555555,0.16666666666666666,0.7777777777777778
serve_side|VOLLEY|dir=1,0.0,0.3333333333333333,0.6666666666666666
serve_side|VOLLEY|dir=2,0.75,0.0,0.25
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
