,win,loss,continue
return_side|BH|dir=1,0.0,0.2,0.8
return_side|BH|dir=2,0.07017543859649122,0.07017543859649122,0.8596491228070176
return_side|BH|dir=3,0.03125,0.125,0.84375
return_side|DROP_SHOT|dir=1,0.0,0.2,0.8
return_side|DROP_SHOT|dir=2,0.5,0.0,0.5
return_side|DROP_SHOT|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|FH|dir=1,0.00847457627118644,0.2033898305084746,0.788135593220339
return_side|FH|dir=2,0.020202020202020204,0.1111111111111111,0.8686868686868687
return_side|FH|dir=3,0.04838709677419355,0.13306451612903225,0.8185483870967742
return_side|LOB|dir=2,0.0,0.0,1.0
return_side|LOB|dir=3,0.6666666666666666,0.0,0.3333333333333333
return_side|SERVE|dir=4,0.017964071856287425,0.18562874251497005,0.7964071856287425
return_side|SERVE|dir=5,0.009345794392523364,0.08411214953271028,0.9065420560747663
return_side|SERVE|dir=6,0.005494505494505495,0.14835164835164835,0.8461538461538461
return_side|SLICE|dir=1,0.0,0.2,0.8
return_side|SLICE|dir=2,0.13043478260869565,0.21739130434782608,0.6521739130434783
return_side|SLICE|dir=3,0.11764705882352941,0.11764705882352941,0.7647058823529411
return_side|SMASH|dir=2,0.0,0.2,0.8
return_side|SMASH|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.42857142857142855,0.2857142857142857,0.2857142857142857
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.16666666666666666,0.08333333333333333,0.75
serve_side|BH|dir=1,0.08823529411764706,0.16176470588235295,0.75
serve_side|BH|dir=2,0.06043956043956044,0.10989010989010989,0.8296703296703297
serve_side|BH|dir=3,0.06315789473684211,0.14210526315789473,0.7947368421052632
serve_side|BOS|dir=0,0.10172413793103448,0.0,0.8982758620689655
serve_side|DROP_SHOT|dir=1,0.4,0.4,0.2
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|FH|dir=1,0.08695652173913043,0.1956521739130435,0.717391304347826
serve_side|FH|dir=2,0.057692307692307696,0.1282051282051282,0.8141025641025641
serve_side|FH|dir=3,0.039735099337748346,0.09271523178807947,0.8675496688741722
serve_side|LOB|dir=2,0.42857142857142855,0.14285714285714285,0.42857142857142855
serve_side|LOB|dir=3,0.5555555555555556,0.0,0.4444444444444444
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|OTHER|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.058823529411764705,0.0,0.9411764705882353
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.05042016806722689,0.0,0.9495798319327731
serve_side|SLICE|dir=1,0.1,0.05,0.85
serve_side|SLICE|dir=2,0.29577464788732394,0.04225352112676056,0.6619718309859155
serve_side|SLICE|dir=3,0.17647058823529413,0.1323529411764706,0.6911764705882353
serve_side|SMASH|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
