,win,loss,continue
return_side|BH|dir=1,0.0,0.21739130434782608,0.782608695652174
return_side|BH|dir=2,0.04411764705882353,0.19117647058823528,0.7647058823529411
return_side|BH|dir=3,0.011111111111111112,0.18888888888888888,0.8
return_side|DROP_SHOT|dir=1,0.6666666666666666,0.0,0.3333333333333333
return_side|DROP_SHOT|dir=2,0.5,0.0,0.5
return_side|DROP_SHOT|dir=3,0.0,0.5,0.5
return_side|FH|dir=1,0.041237113402061855,0.18556701030927836,0.7731958762886598
return_side|FH|dir=2,0.06578947368421052,0.2236842105263158,0.7105263157894737
return_side|FH|dir=3,0.01282051282051282,0.41025641025641024,0.5769230769230769
return_side|LOB|dir=1,0.25,0.25,0.5
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=0,0.0,0.0,1.0
return_side|SERVE|dir=4,0.03347280334728033,0.33472803347280333,0.6317991631799164
return_side|SERVE|dir=5,0.022727272727272728,0.2196969696969697,0.7575757575757576
return_side|SERVE|dir=6,0.005154639175257732,0.24742268041237114,0.7474226804123711
return_side|SLICE|dir=1,0.2,0.17142857142857143,0.6285714285714286
return_side|SLICE|dir=2,0.1111111111111111,0.1111111111111111,0.7777777777777778
return_side|SLICE|dir=3,0.0,0.2222222222222222,0.7777777777777778
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=1,0.14285714285714285,0.2857142857142857,0.5714285714285714
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.14285714285714285,0.2857142857142857,0.5714285714285714
serve_side|BH|dir=1,0.13114754098360656,0.22950819672131148,0.639344262295082
serve_side|BH|dir=2,0.13138686131386862,0.18248175182481752,0.6861313868613139
serve_side|BH|dir=3,0.0784313725490196,0.17647058823529413,0.7450980392156863
serve_side|BOS|dir=0,0.12444444444444444,0.0,0.8755555555555555
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.05,0.25,0.7
serve_side|FH|dir=2,0.08163265306122448,0.19047619047619047,0.7278911564625851
serve_side|FH|dir=3,0.07462686567164178,0.19402985074626866,0.7313432835820896
serve_side|LOB|dir=1,0.35714285714285715,0.2857142857142857,0.35714285714285715
serve_side|LOB|dir=2,0.5,0.16666666666666666,0.3333333333333333
serve_side|LOB|dir=3,0.2857142857142857,0.42857142857142855,0.2857142857142857
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.14285714285714285,0.11904761904761904,0.7380952380952381
serve_side|SLICE|dir=2,0.2033898305084746,0.11864406779661017,0.6779661016949152
serve_side|SLICE|dir=3,0.46153846153846156,0.07692307692307693,0.46153846153846156
serve_side|SMASH|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.0,0.6666666666666666,0.3333333333333333
