,win,loss,continue
return_side|BH|dir=1,0.0,0.2463768115942029,0.7536231884057971
return_side|BH|dir=2,0.043478260869565216,0.14492753623188406,0.8115942028985508
return_side|BH|dir=3,0.07518796992481203,0.14285714285714285,0.7819548872180451
return_side|DROP_SHOT|dir=1,0.4444444444444444,0.3333333333333333,0.2222222222222222
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.3,0.1,0.6
return_side|FH|dir=1,0.058823529411764705,0.17058823529411765,0.7705882352941177
return_side|FH|dir=2,0.04878048780487805,0.08130081300813008,0.8699186991869918
return_side|FH|dir=3,0.03754266211604096,0.14675767918088736,0.8156996587030717
return_side|LOB|dir=2,0.3333333333333333,0.0,0.6666666666666666
return_side|LOB|dir=3,0.0,1.0,0.0
return_side|OTHER|dir=1,1.0,0.0,0.0
return_side|OTHER|dir=2,1.0,0.0,0.0
return_side|OTHER|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.014705882352941176,0.18382352941176472,0.8014705882352942
return_side|SERVE|dir=5,0.0189873417721519,0.14556962025316456,0.8354430379746836
return_side|SERVE|dir=6,0.010526315789473684,0.21578947368421053,0.7736842105263158
return_side|SLICE|dir=1,0.0,0.16666666666666666,0.8333333333333334
return_side|SLICE|dir=2,0.2857142857142857,0.07142857142857142,0.6428571428571429
return_side|SLICE|dir=3,0.09090909090909091,0.13636363636363635,0.7727272727272727
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|SMASH|dir=2,0.0,0.5,0.5
return_side|SMASH|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=1,0.14285714285714285,0.0,0.8571428571428571
return_side|VOLLEY|dir=2,0.42857142857142855,0.42857142857142855,0.14285714285714285
return_side|VOLLEY|dir=3,0.1,0.3,0.6
serve_side|BH|dir=1,0.034482758620689655,0.26436781609195403,0.7011494252873564
serve_side|BH|dir=2,0.07253886010362694,0.16580310880829016,0.7616580310880829
serve_side|BH|dir=3,0.10309278350515463,0.12371134020618557,0.7731958762886598
serve_side|BOS|dir=0,0.05092592592592592,0.0,0.9490740740740741
serve_side|DROP_SHOT|dir=1,0.25,0.25,0.5
serve_side|DROP_SHOT|dir=2,0.0,0.5,0.5
serve_side|DROP_SHOT|dir=3,0.1111111111111111,0.3333333333333333,0.5555555555555556
serve_side|FH|dir=1,0.11650485436893204,0.22330097087378642,0.6601941747572816
serve_side|FH|dir=2,0.0784313725490196,0.1568627450980392,0.7647058823529411
serve_side|FH|dir=3,0.04716981132075472,0.16037735849056603,0.7924528301886793
serve_side|LOB|dir=1,0.5714285714285714,0.0,0.42857142857142855
serve_side|LOB|dir=2,0.43478260869565216,0.08695652173913043,0.4782608695652174
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|OTHER|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|OTHER|dir=2,0.2692307692307692,0.07692307692307693,0.6538461538461539
serve_side|OTHER|dir=3,0.125,0.3333333333333333,0.5416666666666666
serve_side|SERVE|dir=4,0.010416666666666666,0.0,0.9895833333333334
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.02702702702702703,0.0,0.972972972972973
serve_side|SLICE|dir=1,0.2631578947368421,0.10526315789473684,0.631578947368421
serve_side|SLICE|dir=2,0.23529411764705882,0.0784313725490196,0.6862745098039216
serve_side|SLICE|dir=3,0.2571428571428571,0.12857142857142856,0.6142857142857143
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|SMASH|dir=3,0.0,0.5,0.5
serve_side|VOLLEY|dir=1,0.0,0.5,0.5
serve_side|VOLLEY|dir=2,0.5,0.0,0.5
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
