,win,loss,continue
return_side|BH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|BH|dir=2,0.0,0.4,0.6
return_side|BH|dir=3,0.0,0.15384615384615385,0.8461538461538461
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=2,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.17391304347826086,0.8260869565217391
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.0,0.23076923076923078,0.7692307692307693
return_side|SERVE|dir=0,0.0,1.0,0.0
return_side|SERVE|dir=4,0.0,0.13636363636363635,0.8636363636363636
return_side|SERVE|dir=5,0.0,0.125,0.875
return_side|SERVE|dir=6,0.0,0.2631578947368421,0.7368421052631579
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.5,0.0,0.5
return_side|SMASH|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.5,0.5
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.05555555555555555,0.1111111111111111,0.8333333333333334
serve_side|BH|dir=3,0.0,0.11904761904761904,0.8809523809523809
serve_side|BOS|dir=0,0.06451612903225806,0.0,0.9354838709677419
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,1.0,0.0,0.0
serve_side|FH|dir=1,0.0,0.22857142857142856,0.7714285714285715
serve_side|FH|dir=2,0.058823529411764705,0.058823529411764705,0.8823529411764706
serve_side|FH|dir=3,0.0,0.23076923076923078,0.7692307692307693
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,1.0,0.0
serve_side|SLICE|dir=2,0.4,0.0,0.6
serve_side|SLICE|dir=3,0.0,0.2857142857142857,0.7142857142857143
serve_side|VOLLEY|dir=1,0.0,0.5,0.5
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.0,0.0,1.0
