,win,loss,continue
return_side|BH|dir=1,0.0,0.6666666666666666,0.3333333333333333
return_side|BH|dir=2,0.08333333333333333,0.20833333333333334,0.7083333333333334
return_side|BH|dir=3,0.11538461538461539,0.15384615384615385,0.7307692307692307
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,1.0,0.0,0.0
return_side|FH|dir=1,0.034482758620689655,0.2413793103448276,0.7241379310344828
return_side|FH|dir=2,0.05,0.25,0.7
return_side|FH|dir=3,0.029411764705882353,0.23529411764705882,0.7352941176470589
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|SERVE|dir=4,0.0425531914893617,0.2765957446808511,0.6808510638297872
return_side|SERVE|dir=5,0.0,0.10810810810810811,0.8918918918918919
return_side|SERVE|dir=6,0.0,0.23076923076923078,0.7692307692307693
return_side|SLICE|dir=2,1.0,0.0,0.0
return_side|SLICE|dir=3,0.0,0.2222222222222222,0.7777777777777778
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.125,0.875
serve_side|BH|dir=2,0.0,0.14893617021276595,0.851063829787234
serve_side|BH|dir=3,0.06666666666666667,0.17333333333333334,0.76
serve_side|BOS|dir=0,0.019867549668874173,0.0,0.9801324503311258
serve_side|DROP_SHOT|dir=1,0.5,0.5,0.0
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.16279069767441862,0.8372093023255814
serve_side|FH|dir=2,0.07407407407407407,0.09259259259259259,0.8333333333333334
serve_side|FH|dir=3,0.03125,0.125,0.84375
serve_side|LOB|dir=2,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.029411764705882353,0.0,0.9705882352941176
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.6,0.2,0.2
serve_side|SLICE|dir=2,0.3333333333333333,0.16666666666666666,0.5
serve_side|SLICE|dir=3,0.06666666666666667,0.2,0.7333333333333333
