,win,loss,continue
return_side|BH|dir=0,0.09375,0.15625,0.75
return_side|BH|dir=1,0.010309278350515464,0.15463917525773196,0.8350515463917526
return_side|BH|dir=2,0.11585365853658537,0.14634146341463414,0.7378048780487805
return_side|BH|dir=3,0.03359173126614987,0.15503875968992248,0.8113695090439277
return_side|DROP_SHOT|dir=1,0.2857142857142857,0.2857142857142857,0.42857142857142855
return_side|DROP_SHOT|dir=3,0.125,0.125,0.75
return_side|FH|dir=0,0.022727272727272728,0.1590909090909091,0.8181818181818182
return_side|FH|dir=1,0.033942558746736295,0.2584856396866841,0.7075718015665796
return_side|FH|dir=2,0.02531645569620253,0.2088607594936709,0.7658227848101266
return_side|FH|dir=3,0.01744186046511628,0.18895348837209303,0.7936046511627907
return_side|LOB|dir=1,1.0,0.0,0.0
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,0.5,0.25,0.25
return_side|OTHER|dir=0,0.0,0.0,1.0
return_side|SERVE|dir=0,0.0,0.0,1.0
return_side|SERVE|dir=4,0.021015761821366025,0.15586690017513136,0.8231173380035026
return_side|SERVE|dir=5,0.046875,0.171875,0.78125
return_side|SERVE|dir=6,0.015810276679841896,0.1442687747035573,0.8399209486166008
return_side|SLICE|dir=0,0.0,1.0,0.0
return_side|SLICE|dir=1,0.125,0.125,0.75
return_side|SLICE|dir=2,0.16393442622950818,0.09836065573770492,0.7377049180327869
return_side|SLICE|dir=3,0.07865168539325842,0.1348314606741573,0.7865168539325843
return_side|SMASH|dir=1,0.0,0.4444444444444444,0.5555555555555556
return_side|SMASH|dir=2,0.14285714285714285,0.2857142857142857,0.5714285714285714
return_side|SMASH|dir=3,0.0,0.7,0.3
return_side|VOLLEY|dir=0,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.23529411764705882,0.35294117647058826,0.4117647058823529
return_side|VOLLEY|dir=2,0.2222222222222222,0.1111111111111111,0.6666666666666666
return_side|VOLLEY|dir=3,0.058823529411764705,0.17647058823529413,0.7647058823529411
serve_side|BH|dir=0,0.13043478260869565,0.08695652173913043,0.782608695652174
serve_side|BH|dir=1,0.08275862068965517,0.1793103448275862,0.7379310344827587
serve_side|BH|dir=2,0.09448818897637795,0.13385826771653545,0.7716535433070866
serve_side|BH|dir=3,0.044444444444444446,0.14871794871794872,0.8068376068376069
serve_side|BOS|dir=0,0.11555555555555555,0.0,0.8844444444444445
serve_side|DROP_SHOT|dir=1,0.0,0.4,0.6
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.5,0.0,0.5
serve_side|FH|dir=0,0.10256410256410256,0.28205128205128205,0.6153846153846154
serve_side|FH|dir=1,0.06158357771260997,0.21700879765395895,0.7214076246334311
serve_side|FH|dir=2,0.10060975609756098,0.17073170731707318,0.7286585365853658
serve_side|FH|dir=3,0.05343511450381679,0.1717557251908397,0.7748091603053435
serve_side|LOB|dir=0,1.0,0.0,0.0
serve_side|LOB|dir=1,0.25,0.5,0.25
serve_side|LOB|dir=2,0.6666666666666666,0.1111111111111111,0.2222222222222222
serve_side|LOB|dir=3,0.3888888888888889,0.2222222222222222,0.3888888888888889
serve_side|OTHER|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.02622950819672131,0.0,0.9737704918032787
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.016666666666666666,0.0,0.9833333333333333
serve_side|SLICE|dir=0,0.3333333333333333,0.1111111111111111,0.5555555555555556
serve_side|SLICE|dir=1,0.21818181818181817,0.12727272727272726,0.6545454545454545
serve_side|SLICE|dir=2,0.22012578616352202,0.1761006289308176,0.6037735849056604
serve_side|SLICE|dir=3,0.1366906474820144,0.22302158273381295,0.6402877697841727
serve_side|SMASH|dir=1,0.3333333333333333,0.6666666666666666,0.0
serve_side|SMASH|dir=2,0.0,0.25,0.75
serve_side|SMASH|dir=3,0.0,0.1111111111111111,0.8888888888888888
serve_side|VOLLEY|dir=0,0.3333333333333333,0.3333333333333333,0.3333333333333333
serve_side|VOLLEY|dir=1,0.3333333333333333,0.25,0.4166666666666667
serve_side|VOLLEY|dir=2,0.6,0.1,0.3
serve_side|VOLLEY|dir=3,0.3333333333333333,0.2222222222222222,0.4444444444444444
