,win,loss,continue
return_side|BH|dir=1,0.125,0.0,0.875
return_side|BH|dir=2,0.1,0.1,0.8
return_side|BH|dir=3,0.0,0.08333333333333333,0.9166666666666666
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.07692307692307693,0.38461538461538464,0.5384615384615384
return_side|FH|dir=2,0.125,0.25,0.625
return_side|FH|dir=3,0.0,0.2857142857142857,0.7142857142857143
return_side|LOB|dir=2,0.0,0.5,0.5
return_side|SERVE|dir=4,0.0,0.2903225806451613,0.7096774193548387
return_side|SERVE|dir=5,0.0,0.21739130434782608,0.782608695652174
return_side|SERVE|dir=6,0.0,0.3181818181818182,0.6818181818181818
return_side|SLICE|dir=2,0.0,0.4,0.6
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.125,0.875
serve_side|BH|dir=2,0.06818181818181818,0.22727272727272727,0.7045454545454546
serve_side|BH|dir=3,0.0,0.10714285714285714,0.8928571428571429
serve_side|BOS|dir=0,0.06521739130434782,0.0,0.9347826086956522
serve_side|DROP_SHOT|dir=2,1.0,0.0,0.0
serve_side|DROP_SHOT|dir=3,0.0,0.3333333333333333,0.6666666666666666
serve_side|FH|dir=1,0.0,0.18181818181818182,0.8181818181818182
serve_side|FH|dir=2,0.13333333333333333,0.26666666666666666,0.6
serve_side|FH|dir=3,0.0,0.19047619047619047,0.8095238095238095
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.1111111111111111,0.0,0.8888888888888888
serve_side|SLICE|dir=3,0.0,0.25,0.75
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
