,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.1111111111111111,0.18518518518518517,0.7037037037037037
return_side|BH|dir=3,0.0,0.125,0.875
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|DROP_SHOT|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|FH|dir=1,0.045454545454545456,0.13636363636363635,0.8181818181818182
return_side|FH|dir=2,0.023255813953488372,0.16279069767441862,0.813953488372093
return_side|FH|dir=3,0.04,0.12,0.84
return_side|SERVE|dir=0,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.30434782608695654,0.6956521739130435
return_side|SERVE|dir=5,0.0,0.26666666666666666,0.7333333333333333
return_side|SERVE|dir=6,0.0,0.1111111111111111,0.8888888888888888
return_side|SLICE|dir=2,0.0,1.0,0.0
return_side|SLICE|dir=3,0.0,1.0,0.0
return_side|SMASH|dir=0,0.0,0.0,1.0
return_side|SMASH|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|BH|dir=2,0.0975609756097561,0.04878048780487805,0.8536585365853658
serve_side|BH|dir=3,0.2631578947368421,0.15789473684210525,0.5789473684210527
serve_side|BOS|dir=0,0.03278688524590164,0.0,0.9672131147540983
serve_side|DROP_SHOT|dir=3,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.2857142857142857,0.7142857142857143
serve_side|FH|dir=2,0.0392156862745098,0.21568627450980393,0.7450980392156863
serve_side|FH|dir=3,0.0,0.1875,0.8125
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.25,0.0,0.75
serve_side|SLICE|dir=3,0.3333333333333333,0.3333333333333333,0.3333333333333333
