,win,loss,continue
return_side|BH|dir=1,0.0,0.125,0.875
return_side|BH|dir=2,0.0,0.08333333333333333,0.9166666666666666
return_side|BH|dir=3,0.045454545454545456,0.09090909090909091,0.8636363636363636
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.13636363636363635,0.8636363636363636
return_side|FH|dir=2,0.1,0.1,0.8
return_side|FH|dir=3,0.0,0.2,0.8
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|SERVE|dir=4,0.047619047619047616,0.2857142857142857,0.6666666666666666
return_side|SERVE|dir=5,0.0,0.047619047619047616,0.9523809523809523
return_side|SERVE|dir=6,0.05263157894736842,0.21052631578947367,0.7368421052631579
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|SMASH|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.5714285714285714,0.42857142857142855
serve_side|BH|dir=2,0.045454545454545456,0.18181818181818182,0.7727272727272727
serve_side|BH|dir=3,0.0,0.043478260869565216,0.9565217391304348
serve_side|BOS|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=2,0.0,0.0,1.0
serve_side|FH|dir=1,0.0,0.07692307692307693,0.9230769230769231
serve_side|FH|dir=2,0.0,0.058823529411764705,0.9411764705882353
serve_side|FH|dir=3,0.2,0.0,0.8
serve_side|LOB|dir=1,0.4,0.0,0.6
serve_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
serve_side|OTHER|dir=3,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.2,0.2,0.6
serve_side|SLICE|dir=2,0.0,0.0,1.0
serve_side|SLICE|dir=3,0.0,0.25,0.75
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
serve_side|VOLLEY|dir=2,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,1.0,0.0,0.0
