,win,loss,continue
return_side|BH|dir=1,0.1111111111111111,0.1111111111111111,0.7777777777777778
return_side|BH|dir=2,0.022727272727272728,0.06818181818181818,0.9090909090909091
return_side|BH|dir=3,0.028169014084507043,0.09859154929577464,0.8732394366197183
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.21212121212121213,0.7878787878787878
return_side|FH|dir=2,0.019230769230769232,0.11538461538461539,0.8653846153846154
return_side|FH|dir=3,0.009523809523809525,0.17142857142857143,0.819047619047619
return_side|LOB|dir=2,0.0,1.0,0.0
return_side|SERVE|dir=4,0.009009009009009009,0.11711711711711711,0.8738738738738738
return_side|SERVE|dir=5,0.0,0.027777777777777776,0.9722222222222222
return_side|SERVE|dir=6,0.014925373134328358,0.1044776119402985,0.8805970149253731
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.5,0.0,0.5
return_side|SLICE|dir=3,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|VOLLEY|dir=2,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|VOLLEY|dir=3,0.6666666666666666,0.0,0.3333333333333333
serve_side|BH|dir=1,0.0,0.2,0.8
serve_side|BH|dir=2,0.03076923076923077,0.1076923076923077,0.8615384615384616
serve_side|BH|dir=3,0.08,0.07,0.85
serve_side|BOS|dir=0,0.04568527918781726,0.0,0.9543147208121827
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=3,0.75,0.25,0.0
serve_side|FH|dir=1,0.0,0.1111111111111111,0.8888888888888888
serve_side|FH|dir=2,0.0,0.11475409836065574,0.8852459016393442
serve_side|FH|dir=3,0.06493506493506493,0.03896103896103896,0.8961038961038961
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.2,0.4,0.4
serve_side|SLICE|dir=2,0.36363636363636365,0.0,0.6363636363636364
serve_side|SLICE|dir=3,0.46153846153846156,0.0,0.5384615384615384
serve_side|VOLLEY|dir=1,0.5,0.5,0.0
serve_side|VOLLEY|dir=2,0.5,0.0,0.5
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
