,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.04,0.24,0.72
return_side|BH|dir=3,0.03571428571428571,0.10714285714285714,0.8571428571428571
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=2,0.0,0.0,1.0
return_side|FH|dir=1,0.05555555555555555,0.08333333333333333,0.8611111111111112
return_side|FH|dir=2,0.0,0.1836734693877551,0.8163265306122449
return_side|FH|dir=3,0.0,0.125,0.875
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|LOB|dir=3,0.0,0.5,0.5
return_side|SERVE|dir=0,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.13043478260869565,0.8695652173913043
return_side|SERVE|dir=5,0.0,0.07692307692307693,0.9230769230769231
return_side|SERVE|dir=6,0.02564102564102564,0.07692307692307693,0.8974358974358975
return_side|SLICE|dir=2,0.0,0.18181818181818182,0.8181818181818182
return_side|SLICE|dir=3,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.5,0.5
return_side|VOLLEY|dir=2,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.1111111111111111,0.8888888888888888
serve_side|BH|dir=2,0.04225352112676056,0.2676056338028169,0.6901408450704225
serve_side|BH|dir=3,0.10526315789473684,0.10526315789473684,0.7894736842105263
serve_side|BOS|dir=0,0.06206896551724138,0.0,0.9379310344827586
serve_side|DROP_SHOT|dir=1,0.0,0.25,0.75
serve_side|FH|dir=1,0.023809523809523808,0.19047619047619047,0.7857142857142857
serve_side|FH|dir=2,0.0,0.09523809523809523,0.9047619047619048
serve_side|FH|dir=3,0.0,0.125,0.875
serve_side|LOB|dir=0,0.0,0.0,1.0
serve_side|LOB|dir=2,0.3333333333333333,0.0,0.6666666666666666
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.25,0.0,0.75
serve_side|SLICE|dir=2,0.23809523809523808,0.0,0.7619047619047619
serve_side|SLICE|dir=3,0.16666666666666666,0.16666666666666666,0.6666666666666666
serve_side|SMASH|dir=1,0.0,1.0,0.0
serve_side|SMASH|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=3,0.0,0.0,1.0
