,win,loss,continue
return_side|BH|dir=1,0.0,0.4444444444444444,0.5555555555555556
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.0,0.2,0.8
return_side|FH|dir=1,0.06666666666666667,0.13333333333333333,0.8
return_side|FH|dir=2,0.0,0.6666666666666666,0.3333333333333333
return_side|FH|dir=3,0.0,0.058823529411764705,0.9411764705882353
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.3333333333333333,0.6666666666666666
return_side|SERVE|dir=5,0.0,0.4166666666666667,0.5833333333333334
return_side|SERVE|dir=6,0.0,0.23809523809523808,0.7619047619047619
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.25,0.75
return_side|SMASH|dir=2,1.0,0.0,0.0
serve_side|BH|dir=1,0.0,0.25,0.75
serve_side|BH|dir=2,0.038461538461538464,0.23076923076923078,0.7307692307692307
serve_side|BH|dir=3,0.16666666666666666,0.3333333333333333,0.5
serve_side|BOS|dir=0,0.06666666666666667,0.0,0.9333333333333333
serve_side|FH|dir=1,0.125,0.0,0.875
serve_side|FH|dir=2,0.23529411764705882,0.29411764705882354,0.47058823529411764
serve_side|FH|dir=3,0.0,0.16666666666666666,0.8333333333333334
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.5,0.5
serve_side|SLICE|dir=2,0.46153846153846156,0.07692307692307693,0.46153846153846156
serve_side|SLICE|dir=3,0.0,0.14285714285714285,0.8571428571428571
