,win,loss,continue
return_side|BH|dir=0,0.013986013986013986,0.16783216783216784,0.8181818181818182
return_side|BH|dir=1,0.05172413793103448,0.2413793103448276,0.7068965517241379
return_side|BH|dir=2,0.08181818181818182,0.20909090909090908,0.7090909090909091
return_side|BH|dir=3,0.03409090909090909,0.25,0.7159090909090909
return_side|DROP_SHOT|dir=0,0.0,0.0,1.0
return_side|DROP_SHOT|dir=1,0.42857142857142855,0.14285714285714285,0.42857142857142855
return_side|DROP_SHOT|dir=2,0.0,1.0,0.0
return_side|FH|dir=0,0.03260869565217391,0.15217391304347827,0.8152173913043478
return_side|FH|dir=1,0.039603960396039604,0.24752475247524752,0.7128712871287128
return_side|FH|dir=2,0.07954545454545454,0.125,0.7954545454545454
return_side|FH|dir=3,0.028169014084507043,0.18309859154929578,0.7887323943661971
return_side|LOB|dir=2,1.0,0.0,0.0
return_side|OTHER|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.022222222222222223,0.22592592592592592,0.7518518518518519
return_side|SERVE|dir=5,0.033112582781456956,0.2052980132450331,0.7615894039735099
return_side|SERVE|dir=6,0.013888888888888888,0.19444444444444445,0.7916666666666666
return_side|SLICE|dir=0,0.125,0.25,0.625
return_side|SLICE|dir=1,0.1111111111111111,0.2222222222222222,0.6666666666666666
return_side|SLICE|dir=2,0.14285714285714285,0.14285714285714285,0.7142857142857143
return_side|SLICE|dir=3,0.0,0.4117647058823529,0.5882352941176471
return_side|VOLLEY|dir=0,0.5,0.5,0.0
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.16666666666666666,0.3333333333333333,0.5
serve_side|BH|dir=0,0.04216867469879518,0.1566265060240964,0.8012048192771084
serve_side|BH|dir=1,0.04878048780487805,0.13008130081300814,0.8211382113821138
serve_side|BH|dir=2,0.09597523219814241,0.21362229102167182,0.6904024767801857
serve_side|BH|dir=3,0.05116279069767442,0.2558139534883721,0.6930232558139535
serve_side|BOS|dir=0,0.13007284079084286,0.0,0.8699271592091571
serve_side|DROP_SHOT|dir=0,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|DROP_SHOT|dir=2,0.0,1.0,0.0
serve_side|FH|dir=0,0.08333333333333333,0.10185185185185185,0.8148148148148148
serve_side|FH|dir=1,0.09411764705882353,0.16470588235294117,0.7411764705882353
serve_side|FH|dir=2,0.05612244897959184,0.19387755102040816,0.75
serve_side|FH|dir=3,0.03669724770642202,0.21100917431192662,0.7522935779816514
serve_side|LOB|dir=0,0.0,0.0,1.0
serve_side|LOB|dir=2,0.4,0.4,0.2
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.0,1.0,0.0
serve_side|SERVE|dir=4,0.04966887417218543,0.0,0.9503311258278145
serve_side|SERVE|dir=5,0.09523809523809523,0.0,0.9047619047619048
serve_side|SERVE|dir=6,0.061946902654867256,0.0,0.9380530973451328
serve_side|SLICE|dir=0,0.12,0.28,0.6
serve_side|SLICE|dir=1,0.4,0.0,0.6
serve_side|SLICE|dir=2,0.25,0.11363636363636363,0.6363636363636364
serve_side|SLICE|dir=3,0.1794871794871795,0.3076923076923077,0.5128205128205128
serve_side|VOLLEY|dir=0,1.0,0.0,0.0
serve_side|VOLLEY|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
