,win,loss,continue
return_side|BH|dir=1,0.02158273381294964,0.12949640287769784,0.8489208633093526
return_side|BH|dir=2,0.044444444444444446,0.07111111111111111,0.8844444444444445
return_side|BH|dir=3,0.07407407407407407,0.07818930041152264,0.8477366255144033
return_side|DROP_SHOT|dir=1,0.3333333333333333,0.3333333333333333,0.3333333333333333
return_side|DROP_SHOT|dir=2,0.0,0.5,0.5
return_side|DROP_SHOT|dir=3,0.08333333333333333,0.08333333333333333,0.8333333333333334
return_side|FH|dir=1,0.053497942386831275,0.1440329218106996,0.8024691358024691
return_side|FH|dir=2,0.043478260869565216,0.125,0.8315217391304348
return_side|FH|dir=3,0.03937007874015748,0.1062992125984252,0.8543307086614174
return_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
return_side|SERVE|dir=0,0.0,0.6,0.4
return_side|SERVE|dir=4,0.023017902813299233,0.24296675191815856,0.7340153452685422
return_side|SERVE|dir=5,0.04746835443037975,0.19936708860759494,0.7531645569620253
return_side|SERVE|dir=6,0.027777777777777776,0.25,0.7222222222222222
return_side|SLICE|dir=1,0.07692307692307693,0.23076923076923078,0.6923076923076923
return_side|SLICE|dir=2,0.1896551724137931,0.06896551724137931,0.7413793103448276
return_side|SLICE|dir=3,0.03571428571428571,0.14285714285714285,0.8214285714285714
return_side|SMASH|dir=1,0.0,0.75,0.25
return_side|SMASH|dir=2,0.0,0.5,0.5
return_side|SMASH|dir=3,0.0,0.75,0.25
return_side|VOLLEY|dir=1,0.29411764705882354,0.11764705882352941,0.5882352941176471
return_side|VOLLEY|dir=2,0.0,0.2857142857142857,0.7142857142857143
return_side|VOLLEY|dir=3,0.2,0.26666666666666666,0.5333333333333333
serve_side|BH|dir=1,0.08333333333333333,0.13020833333333334,0.7864583333333334
serve_side|BH|dir=2,0.0591016548463357,0.12293144208037825,0.817966903073286
serve_side|BH|dir=3,0.04304635761589404,0.11920529801324503,0.8377483443708609
serve_side|BOS|dir=0,0.0783289817232376,0.0,0.9216710182767625
serve_side|DROP_SHOT|dir=1,0.4,0.4,0.2
serve_side|DROP_SHOT|dir=2,1.0,0.0,0.0
serve_side|DROP_SHOT|dir=3,0.3333333333333333,0.0,0.6666666666666666
serve_side|FH|dir=1,0.05084745762711865,0.13559322033898305,0.8135593220338984
serve_side|FH|dir=2,0.06172839506172839,0.11728395061728394,0.8209876543209876
serve_side|FH|dir=3,0.0796812749003984,0.10756972111553785,0.8127490039840638
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=3,0.5,0.0,0.5
serve_side|OTHER|dir=2,0.0,1.0,0.0
serve_side|SERVE|dir=0,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.008368200836820083,0.0,0.9916317991631799
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.010752688172043012,0.0,0.989247311827957
serve_side|SLICE|dir=1,0.21568627450980393,0.058823529411764705,0.7254901960784313
serve_side|SLICE|dir=2,0.17647058823529413,0.125,0.6985294117647058
serve_side|SLICE|dir=3,0.17757009345794392,0.12149532710280374,0.7009345794392523
serve_side|SMASH|dir=1,0.0,0.0,1.0
serve_side|SMASH|dir=2,0.2,0.0,0.8
serve_side|SMASH|dir=3,0.0,0.5,0.5
serve_side|VOLLEY|dir=0,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.0,0.5,0.5
serve_side|VOLLEY|dir=2,0.0,0.3333333333333333,0.6666666666666666
serve_side|VOLLEY|dir=3,0.09090909090909091,0.18181818181818182,0.7272727272727273
