,win,loss,continue
return_side|BH|dir=1,0.0,0.42857142857142855,0.5714285714285714
return_side|BH|dir=2,0.0,0.0,1.0
return_side|BH|dir=3,0.1,0.1,0.8
return_side|DROP_SHOT|dir=1,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.0,1.0
return_side|FH|dir=1,0.0,0.23529411764705882,0.7647058823529411
return_side|FH|dir=2,0.0,0.25,0.75
return_side|FH|dir=3,0.09090909090909091,0.09090909090909091,0.8181818181818182
return_side|LOB|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.2619047619047619,0.7380952380952381
return_side|SERVE|dir=5,0.0,0.0,1.0
return_side|SERVE|dir=6,0.0,0.14285714285714285,0.8571428571428571
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,1.0,0.0,0.0
return_side|SMASH|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=1,0.0,0.2,0.8
return_side|VOLLEY|dir=2,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.06666666666666667,0.03333333333333333,0.9
serve_side|BH|dir=2,0.06521739130434782,0.13043478260869565,0.8043478260869565
serve_side|BH|dir=3,0.04081632653061224,0.04081632653061224,0.9183673469387755
serve_side|BOS|dir=0,0.030612244897959183,0.0,0.9693877551020408
serve_side|FH|dir=1,0.0,0.10204081632653061,0.8979591836734694
serve_side|FH|dir=2,0.0,0.0625,0.9375
serve_side|FH|dir=3,0.0,0.2631578947368421,0.7368421052631579
serve_side|LOB|dir=1,0.0,0.0,1.0
serve_side|LOB|dir=2,0.8,0.0,0.2
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.2727272727272727,0.7272727272727273
serve_side|SLICE|dir=2,0.25,0.0,0.75
serve_side|SLICE|dir=3,0.0,0.0,1.0
serve_side|SMASH|dir=2,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
