,win,loss,continue
return_side|BH|dir=1,0.0,0.1875,0.8125
return_side|BH|dir=2,0.07407407407407407,0.18518518518518517,0.7407407407407407
return_side|BH|dir=3,0.07272727272727272,0.12727272727272726,0.8
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|DROP_SHOT|dir=3,0.16666666666666666,0.16666666666666666,0.6666666666666666
return_side|FH|dir=1,0.014285714285714285,0.22857142857142856,0.7571428571428571
return_side|FH|dir=2,0.02857142857142857,0.17142857142857143,0.8
return_side|FH|dir=3,0.029411764705882353,0.23529411764705882,0.7352941176470589
return_side|LOB|dir=1,0.5,0.0,0.5
return_side|LOB|dir=2,0.6666666666666666,0.0,0.3333333333333333
return_side|LOB|dir=3,1.0,0.0,0.0
return_side|SERVE|dir=4,0.025423728813559324,0.2542372881355932,0.7203389830508474
return_side|SERVE|dir=5,0.06756756756756757,0.1891891891891892,0.7432432432432432
return_side|SERVE|dir=6,0.03389830508474576,0.2966101694915254,0.6694915254237288
return_side|SLICE|dir=1,0.0,0.25,0.75
return_side|SLICE|dir=2,0.3333333333333333,0.16666666666666666,0.5
return_side|SLICE|dir=3,0.1111111111111111,0.0,0.8888888888888888
return_side|SMASH|dir=1,0.0,0.3333333333333333,0.6666666666666666
return_side|SMASH|dir=2,0.5,0.0,0.5
return_side|SMASH|dir=3,0.0,0.25,0.75
return_side|VOLLEY|dir=1,0.0,0.0,1.0
return_side|VOLLEY|dir=2,0.16666666666666666,0.3333333333333333,0.5
return_side|VOLLEY|dir=3,0.25,0.5,0.25
serve_side|BH|dir=1,0.175,0.325,0.5
serve_side|BH|dir=2,0.07692307692307693,0.11538461538461539,0.8076923076923077
serve_side|BH|dir=3,0.07142857142857142,0.10714285714285714,0.8214285714285714
serve_side|BOS|dir=0,0.11139896373056994,0.0,0.8886010362694301
serve_side|DROP_SHOT|dir=1,0.0,0.5,0.5
serve_side|FH|dir=1,0.07692307692307693,0.27692307692307694,0.6461538461538462
serve_side|FH|dir=2,0.125,0.075,0.8
serve_side|FH|dir=3,0.06666666666666667,0.24444444444444444,0.6888888888888889
serve_side|LOB|dir=1,0.0,1.0,0.0
serve_side|LOB|dir=2,0.4444444444444444,0.2222222222222222,0.3333333333333333
serve_side|LOB|dir=3,0.625,0.0,0.375
serve_side|SERVE|dir=4,0.011904761904761904,0.0,0.9880952380952381
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.021505376344086023,0.0,0.978494623655914
serve_side|SLICE|dir=1,0.25,0.16666666666666666,0.5833333333333334
serve_side|SLICE|dir=2,0.125,0.16666666666666666,0.7083333333333334
serve_side|SLICE|dir=3,0.17857142857142858,0.17857142857142858,0.6428571428571429
serve_side|SMASH|dir=1,1.0,0.0,0.0
serve_side|VOLLEY|dir=1,0.0,1.0,0.0
serve_side|VOLLEY|dir=2,1.0,0.0,0.0
