,win,loss,continue
return_side|BH|dir=1,0.018867924528301886,0.18867924528301888,0.7924528301886793
return_side|BH|dir=2,0.04198473282442748,0.08396946564885496,0.8740458015267175
return_side|BH|dir=3,0.038560411311053984,0.12853470437017994,0.8329048843187661
return_side|DROP_SHOT|dir=1,0.2727272727272727,0.0,0.7272727272727273
return_side|DROP_SHOT|dir=2,1.0,0.0,0.0
return_side|DROP_SHOT|dir=3,0.23076923076923078,0.23076923076923078,0.5384615384615384
return_side|FH|dir=1,0.037037037037037035,0.20043572984749455,0.7625272331154684
return_side|FH|dir=2,0.03666666666666667,0.11333333333333333,0.85
return_side|FH|dir=3,0.020134228187919462,0.14988814317673377,0.8299776286353467
return_side|LOB|dir=0,1.0,0.0,0.0
return_side|LOB|dir=2,0.5,0.16666666666666666,0.3333333333333333
return_side|LOB|dir=3,0.0,0.0,1.0
return_side|OTHER|dir=2,0.0,1.0,0.0
return_side|SERVE|dir=4,0.020802377414561663,0.1976225854383358,0.7815750371471025
return_side|SERVE|dir=5,0.03684210526315789,0.17105263157894737,0.7921052631578948
return_side|SERVE|dir=6,0.02044989775051125,0.18404907975460122,0.7955010224948875
return_side|SLICE|dir=1,0.10526315789473684,0.21052631578947367,0.6842105263157895
return_side|SLICE|dir=2,0.1694915254237288,0.15254237288135594,0.6779661016949152
return_side|SLICE|dir=3,0.07407407407407407,0.08641975308641975,0.8395061728395061
return_side|SMASH|dir=1,0.25,0.5,0.25
return_side|SMASH|dir=2,0.2857142857142857,0.14285714285714285,0.5714285714285714
return_side|SMASH|dir=3,0.0,0.75,0.25
return_side|VOLLEY|dir=1,0.1875,0.28125,0.53125
return_side|VOLLEY|dir=2,0.3333333333333333,0.14285714285714285,0.5238095238095238
return_side|VOLLEY|dir=3,0.18421052631578946,0.2631578947368421,0.5526315789473685
serve_side|BH|dir=1,0.07471264367816093,0.1724137931034483,0.7528735632183908
serve_side|BH|dir=2,0.0830945558739255,0.09455587392550144,0.8223495702005731
serve_side|BH|dir=3,0.045307443365695796,0.11165048543689321,0.843042071197411
serve_side|BOS|dir=0,0.07874420998455996,0.0,0.92125579001544
serve_side|DROP_SHOT|dir=1,0.25,0.125,0.625
serve_side|DROP_SHOT|dir=2,0.25,0.0,0.75
serve_side|DROP_SHOT|dir=3,0.2857142857142857,0.14285714285714285,0.5714285714285714
serve_side|FH|dir=0,0.0,0.0,1.0
serve_side|FH|dir=1,0.039761431411530816,0.1908548707753479,0.7693836978131213
serve_side|FH|dir=2,0.0717557251908397,0.1282442748091603,0.8
serve_side|FH|dir=3,0.03931203931203931,0.14250614250614252,0.8181818181818182
serve_side|LOB|dir=1,0.75,0.0,0.25
serve_side|LOB|dir=2,0.5,0.1875,0.3125
serve_side|LOB|dir=3,0.18181818181818182,0.18181818181818182,0.6363636363636364
serve_side|OTHER|dir=2,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.01529051987767584,0.0,0.9847094801223242
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.014018691588785047,0.0,0.985981308411215
serve_side|SLICE|dir=1,0.14814814814814814,0.18518518518518517,0.6666666666666666
serve_side|SLICE|dir=2,0.17803030303030304,0.10227272727272728,0.7196969696969697
serve_side|SLICE|dir=3,0.0972972972972973,0.10810810810810811,0.7945945945945946
serve_side|SMASH|dir=3,0.0,0.0,1.0
serve_side|VOLLEY|dir=1,0.15384615384615385,0.38461538461538464,0.46153846153846156
serve_side|VOLLEY|dir=2,0.0,0.25,0.75
serve_side|VOLLEY|dir=3,0.1,0.2,0.7
