,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.21428571428571427,0.7857142857142857
return_side|BH|dir=3,0.034482758620689655,0.10344827586206896,0.8620689655172413
return_side|FH|dir=1,0.0,0.14285714285714285,0.8571428571428571
return_side|FH|dir=2,0.0,0.05555555555555555,0.9444444444444444
return_side|FH|dir=3,0.08333333333333333,0.16666666666666666,0.75
return_side|LOB|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.045454545454545456,0.18181818181818182,0.7727272727272727
return_side|SERVE|dir=5,0.07142857142857142,0.21428571428571427,0.7142857142857143
return_side|SERVE|dir=6,0.0,0.1,0.9
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,1.0,0.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.0,0.043478260869565216,0.9565217391304348
serve_side|BH|dir=3,0.0,0.0,1.0
serve_side|BOS|dir=0,0.14285714285714285,0.0,0.8571428571428571
serve_side|FH|dir=1,0.1111111111111111,0.1111111111111111,0.7777777777777778
serve_side|FH|dir=2,0.0,0.15,0.85
serve_side|FH|dir=3,0.0,0.2,0.8
serve_side|LOB|dir=2,1.0,0.0,0.0
serve_side|LOB|dir=3,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|OTHER|dir=3,0.0,0.5,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.0,1.0
