,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.0,0.14285714285714285,0.8571428571428571
return_side|BH|dir=3,0.0,0.1,0.9
return_side|FH|dir=1,0.0,0.5,0.5
return_side|FH|dir=2,0.0,0.5,0.5
return_side|FH|dir=3,0.0,0.0,1.0
return_side|LOB|dir=2,0.0,1.0,0.0
return_side|SERVE|dir=4,0.0,0.3,0.7
return_side|SERVE|dir=5,0.0,0.3076923076923077,0.6923076923076923
return_side|SERVE|dir=6,0.125,0.125,0.75
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,1.0,0.0
serve_side|BH|dir=2,0.0,0.058823529411764705,0.9411764705882353
serve_side|BH|dir=3,0.0,0.14285714285714285,0.8571428571428571
serve_side|BOS|dir=0,0.019230769230769232,0.0,0.9807692307692307
serve_side|DROP_SHOT|dir=1,0.0,0.0,1.0
serve_side|FH|dir=1,0.05555555555555555,0.2777777777777778,0.6666666666666666
serve_side|FH|dir=2,0.11764705882352941,0.058823529411764705,0.8235294117647058
serve_side|FH|dir=3,0.0,0.07142857142857142,0.9285714285714286
serve_side|LOB|dir=2,0.0,0.0,1.0
serve_side|OTHER|dir=2,0.0,0.0,1.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.0,0.3333333333333333,0.6666666666666666
serve_side|VOLLEY|dir=1,0.0,0.0,1.0
