,win,loss,continue
return_side|BH|dir=2,0.0,0.08333333333333333,0.9166666666666666
return_side|BH|dir=3,0.05263157894736842,0.05263157894736842,0.8947368421052632
return_side|FH|dir=1,0.0,0.2631578947368421,0.7368421052631579
return_side|FH|dir=2,0.0,0.10526315789473684,0.8947368421052632
return_side|FH|dir=3,0.023809523809523808,0.16666666666666666,0.8095238095238095
return_side|SERVE|dir=4,0.0,0.35294117647058826,0.6470588235294118
return_side|SERVE|dir=5,0.030303030303030304,0.15151515151515152,0.8181818181818182
return_side|SERVE|dir=6,0.0,0.19444444444444445,0.8055555555555556
return_side|SLICE|dir=1,1.0,0.0,0.0
return_side|SLICE|dir=2,0.0,0.2,0.8
return_side|SLICE|dir=3,0.0,0.42857142857142855,0.5714285714285714
return_side|SMASH|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.0,1.0
serve_side|BH|dir=2,0.13043478260869565,0.08695652173913043,0.782608695652174
serve_side|BH|dir=3,0.0,0.10526315789473684,0.8947368421052632
serve_side|BOS|dir=0,0.13178294573643412,0.0,0.8682170542635659
serve_side|DROP_SHOT|dir=3,0.0,1.0,0.0
serve_side|FH|dir=1,0.07142857142857142,0.03571428571428571,0.8928571428571429
serve_side|FH|dir=2,0.0,0.14634146341463414,0.8536585365853658
serve_side|FH|dir=3,0.0,0.2682926829268293,0.7317073170731707
serve_side|LOB|dir=1,1.0,0.0,0.0
serve_side|LOB|dir=3,1.0,0.0,0.0
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.0,0.0,1.0
serve_side|SLICE|dir=2,0.23809523809523808,0.14285714285714285,0.6190476190476191
serve_side|SLICE|dir=3,0.0,0.2,0.8
serve_side|VOLLEY|dir=1,0.5,0.0,0.5
