,win,loss,continue
return_side|BH|dir=1,0.0,0.0,1.0
return_side|BH|dir=2,0.16666666666666666,0.0,0.8333333333333334
return_side|BH|dir=3,0.0,0.0,1.0
return_side|DROP_SHOT|dir=3,0.0,0.5,0.5
return_side|FH|dir=1,0.0,0.23076923076923078,0.7692307692307693
return_side|FH|dir=2,0.0,0.0,1.0
return_side|FH|dir=3,0.0,0.0,1.0
return_side|SERVE|dir=4,0.0,0.25,0.75
return_side|SERVE|dir=5,0.0,0.3333333333333333,0.6666666666666666
return_side|SERVE|dir=6,0.0,1.0,0.0
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.5,0.0,0.5
return_side|SLICE|dir=3,0.0,0.16666666666666666,0.8333333333333334
return_side|VOLLEY|dir=1,0.0,1.0,0.0
return_side|VOLLEY|dir=2,0.0,0.0,1.0
return_side|VOLLEY|dir=3,0.0,0.0,1.0
serve_side|BH|dir=1,0.0,0.14285714285714285,0.8571428571428571
serve_side|BH|dir=2,0.0,0.4444444444444444,0.5555555555555556
serve_side|BH|dir=3,0.2,0.2,0.6
serve_side|BOS|dir=0,0.07317073170731707,0.0,0.926829268292683
serve_side|FH|dir=1,0.0,0.5714285714285714,0.42857142857142855
serve_side|FH|dir=2,0.0,0.14285714285714285,0.8571428571428571
serve_side|FH|dir=3,0.06666666666666667,0.2,0.7333333333333333
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.2,0.2,0.6
serve_side|SLICE|dir=2,0.0,0.5,0.5
serve_side|SLICE|dir=3,0.1111111111111111,0.2222222222222222,0.6666666666666666
serve_side|VOLLEY|dir=3,0.0,1.0,0.0
