,win,loss,continue
return_side|BH|dir=2,0.0,0.0,1.0
return_side|DROP_SHOT|dir=1,0.0,1.0,0.0
return_side|FH|dir=1,0.0,0.5,0.5
return_side|FH|dir=2,0.0,0.16666666666666666,0.8333333333333334
return_side|FH|dir=3,0.0,0.25,0.75
return_side|LOB|dir=1,0.0,0.0,1.0
return_side|LOB|dir=2,0.0,0.0,1.0
return_side|SERVE|dir=4,0.14285714285714285,0.07142857142857142,0.7857142857142857
return_side|SERVE|dir=5,0.0,0.5,0.5
return_side|SERVE|dir=6,0.0,0.15,0.85
return_side|SLICE|dir=1,0.0,0.0,1.0
return_side|SLICE|dir=2,0.0,0.0,1.0
return_side|SLICE|dir=3,0.0,0.6666666666666666,0.3333333333333333
serve_side|BH|dir=1,0.0,0.5,0.5
serve_side|BH|dir=2,0.0,0.14285714285714285,0.8571428571428571
serve_side|BH|dir=3,0.125,0.125,0.75
serve_side|BOS|dir=0,0.10638297872340426,0.0,0.8936170212765957
serve_side|DROP_SHOT|dir=3,1.0,0.0,0.0
serve_side|FH|dir=1,0.0,0.16666666666666666,0.8333333333333334
serve_side|FH|dir=2,0.058823529411764705,0.11764705882352941,0.8235294117647058
serve_side|FH|dir=3,0.16666666666666666,0.3333333333333333,0.5
serve_side|SERVE|dir=4,0.0,0.0,1.0
serve_side|SERVE|dir=5,0.0,0.0,1.0
serve_side|SERVE|dir=6,0.0,0.0,1.0
serve_side|SLICE|dir=1,0.3333333333333333,0.0,0.6666666666666666
serve_side|SLICE|dir=2,0.2857142857142857,0.14285714285714285,0.5714285714285714
serve_side|SLICE|dir=3,0.0,0.3333333333333333,0.6666666666666666
